dataset,seed,label_column,candidate_state_count,inferred_state_count,n_windows,train_windows,test_windows,state_improvement,temporal_coherence,min_cluster_fraction,balance_score,selection_score,label_purity_mean,state_counts,state_mapping,selected,accuracy,balanced_accuracy,macro_f1
AReMActivities_selectK,0,activity,1,1,281,140,141,0.0,0.0,1.0,0.0,0.0,0.9893238434163701,"{""0"": 281}","{""0"": ""cycling""}",False,0.1702127659574468,0.14285714285714285,0.04155844155844156
AReMActivities_selectK,0,activity,2,2,281,140,141,0.08090487858211745,0.8430822734499206,0.39501779359430605,0.7900355871886121,0.03399948443171208,0.9893238434163701,"{""0"": 170, ""1"": 111}","{""0"": ""sitting"", ""1"": ""cycling""}",True,0.3404255319148936,0.2857142857142857,0.14814814814814814
AReMActivities_selectK,0,activity,3,3,281,140,141,0.10797993352462155,0.7593393883784202,0.16370106761565836,0.49110320284697506,0.020133614771890653,0.9893238434163701,"{""0"": 69, ""1"": 166, ""2"": 46}","{""0"": ""walking"", ""1"": ""lying"", ""2"": ""cycling""}",False,0.475177304964539,0.3988095238095238,0.3030990173847316
AReMActivities_selectK,0,activity,4,4,281,140,141,0.1279380404481506,0.6687841663148552,0.0711743772241993,0.2846975088967972,0.01049108915445026,0.9893238434163701,"{""0"": 50, ""1"": 20, ""2"": 83, ""3"": 128}","{""0"": ""standing"", ""1"": ""cycling"", ""2"": ""walking"", ""3"": ""lying""}",False,0.41134751773049644,0.3452380952380953,0.27522044758706865
AReMActivities_selectK,0,activity,5,5,281,140,141,0.14972577476106905,0.5837477239011466,0.042704626334519574,0.0,0.0,0.9893238434163701,"{""0"": 50, ""1"": 109, ""2"": 75, ""3"": 12, ""4"": 35}","{""0"": ""sitting"", ""1"": ""sitting"", ""2"": ""walking"", ""3"": ""cycling"", ""4"": ""cycling""}",False,0.48226950354609927,0.40476190476190477,0.3026701897414789
AReMActivities_selectK,0,activity,6,6,281,140,141,0.16839756342958437,0.649307447236895,0.0498220640569395,0.0,0.0,0.9893238434163701,"{""0"": 32, ""1"": 109, ""2"": 55, ""3"": 14, ""4"": 37, ""5"": 34}","{""0"": ""cycling"", ""1"": ""sitting"", ""2"": ""walking"", ""3"": ""cycling"", ""4"": ""standing"", ""5"": ""lying""}",False,0.5957446808510638,0.49999999999999994,0.4620580503467675
AReMActivities_selectK,1,activity,1,1,281,140,141,0.0,0.0,1.0,0.0,0.0,0.9893238434163701,"{""0"": 281}","{""0"": ""cycling""}",False,0.1702127659574468,0.14285714285714285,0.04155844155844156
AReMActivities_selectK,1,activity,2,2,281,140,141,0.08090487858211745,0.8430822734499206,0.39501779359430605,0.7900355871886121,0.03399948443171208,0.9893238434163701,"{""0"": 111, ""1"": 170}","{""0"": ""cycling"", ""1"": ""sitting""}",True,0.3404255319148936,0.2857142857142857,0.1477091406428083
AReMActivities_selectK,1,activity,3,3,281,140,141,0.10968607365347574,0.6712424015321843,0.19217081850533807,0.5765124555160142,0.02122313673664556,0.9893238434163701,"{""0"": 80, ""1"": 147, ""2"": 54}","{""0"": ""walking"", ""1"": ""sitting"", ""2"": ""cycling""}",False,0.48936170212765956,0.4107142857142857,0.29564913735718107
AReMActivities_selectK,1,activity,4,4,281,140,141,0.1312774576199736,0.5827026741359265,0.17437722419928825,0.697508896797153,0.02297937188350654,0.9893238434163701,"{""0"": 49, ""1"": 65, ""2"": 55, ""3"": 112}","{""0"": ""standing"", ""1"": ""walking"", ""2"": ""cycling"", ""3"": ""sitting""}",False,0.5106382978723404,0.42857142857142855,0.3540307645570803
