dataset,seed,window_id,start,end,center,true_label,label_purity,inferred_state,aligned_state_label,match
AReMActivities,0,0,0,300,150.0,bending1,1.0,1,sitting,0
AReMActivities,0,1,150,450,300.0,bending1,1.0,1,sitting,0
AReMActivities,0,2,300,600,450.0,bending1,1.0,1,sitting,0
AReMActivities,0,3,450,750,600.0,bending1,1.0,1,sitting,0
AReMActivities,0,4,600,900,750.0,bending1,1.0,1,sitting,0
AReMActivities,0,5,750,1050,900.0,bending1,1.0,1,sitting,0
AReMActivities,0,6,900,1200,1050.0,bending1,1.0,1,sitting,0
AReMActivities,0,7,1050,1350,1200.0,bending1,1.0,1,sitting,0
AReMActivities,0,8,1200,1500,1350.0,bending1,1.0,1,sitting,0
AReMActivities,0,9,1350,1650,1500.0,bending1,1.0,1,sitting,0
AReMActivities,0,10,1500,1800,1650.0,bending1,1.0,1,sitting,0
AReMActivities,0,11,1650,1950,1800.0,bending1,1.0,1,sitting,0
AReMActivities,0,12,1800,2100,1950.0,bending1,1.0,1,sitting,0
AReMActivities,0,13,1950,2250,2100.0,bending1,1.0,1,sitting,0
AReMActivities,0,14,2100,2400,2250.0,bending1,1.0,1,sitting,0
AReMActivities,0,15,2250,2550,2400.0,bending1,1.0,1,sitting,0
AReMActivities,0,16,2400,2700,2550.0,bending1,1.0,1,sitting,0
AReMActivities,0,17,2550,2850,2700.0,bending1,1.0,1,sitting,0
AReMActivities,0,18,2700,3000,2850.0,bending1,1.0,1,sitting,0
AReMActivities,0,19,2850,3150,3000.0,bending1,1.0,1,sitting,0
AReMActivities,0,20,3000,3300,3150.0,bending1,1.0,1,sitting,0
AReMActivities,0,21,3150,3450,3300.0,bending1,0.7,1,sitting,0
AReMActivities,0,22,3300,3600,3450.0,bending2,0.8,1,sitting,0
AReMActivities,0,23,3450,3750,3600.0,bending2,1.0,1,sitting,0
AReMActivities,0,24,3600,3900,3750.0,bending2,1.0,1,sitting,0
AReMActivities,0,25,3750,4050,3900.0,bending2,1.0,1,sitting,0
AReMActivities,0,26,3900,4200,4050.0,bending2,1.0,1,sitting,0
