dataset,label_column,horizon_cycles,lookback_cycles,method,train_rows,validation_rows,test_rows,train_positive_rate,validation_positive_rate,test_positive_rate,train_positives,validation_positives,test_positives,threshold_metric,threshold,validation_threshold_metric,balanced_accuracy,precision,recall,f1,average_precision,roc_auc
HydraulicSystems,valve_condition,3,40,Train Majority,1297,216,649,0.19429452582883577,0.16666666666666666,0.2218798151001541,252,36,144,f1,0.19429452582883577,0.2857142857142857,0.5,0.2218798151001541,1.0,0.36317780580075665,0.2218798151001541,0.5
HydraulicSystems,valve_condition,3,40,Sensor Logistic,1297,216,649,0.19429452582883577,0.16666666666666666,0.2218798151001541,252,36,144,f1,0.2054062389645499,0.330188679245283,0.5,0.2218798151001541,1.0,0.36317780580075665,0.222374668338375,0.48659240924092406
HydraulicSystems,valve_condition,3,40,Graph Ridge Logistic,1297,216,649,0.19429452582883577,0.16666666666666666,0.2218798151001541,252,36,144,f1,0.11362706981329951,0.32142857142857145,0.5220778327832784,0.2318548387096774,0.7986111111111112,0.359375,0.22528819359762225,0.5241199119911991
HydraulicSystems,valve_condition,3,40,Sensor+Graph Logistic,1297,216,649,0.19429452582883577,0.16666666666666666,0.2218798151001541,252,36,144,f1,0.04528590847660956,0.32160804020100503,0.495984598459846,0.22042139384116693,0.9444444444444444,0.35742444152431013,0.23010576447280046,0.5380638063806381
HydraulicSystems,valve_condition,3,40,STCG-v1 Selected Logistic,1297,216,649,0.19429452582883577,0.16666666666666666,0.2218798151001541,252,36,144,f1,0.5653728016603042,0.3269230769230769,0.5092684268426843,0.2311111111111111,0.3611111111111111,0.28184281842818426,0.23662273184204963,0.540525302530253
HydraulicSystems,valve_condition,3,40,Sensor+STCG-v1 Logistic,1297,216,649,0.19429452582883577,0.16666666666666666,0.2218798151001541,252,36,144,f1,0.7408626050266204,0.34951456310679613,0.5280115511551156,0.2608695652173913,0.2916666666666667,0.2754098360655738,0.23929804438179275,0.5371837183718372
HydraulicSystems,valve_condition,5,40,Train Majority,1296,216,648,0.32407407407407407,0.2777777777777778,0.37037037037037035,420,60,240,f1,0.32407407407407407,0.43478260869565216,0.5,0.37037037037037035,1.0,0.5405405405405406,0.37037037037037035,0.5
HydraulicSystems,valve_condition,5,40,Sensor Logistic,1296,216,648,0.32407407407407407,0.2777777777777778,0.37037037037037035,420,60,240,f1,0.17181809825337185,0.49382716049382713,0.5,0.37037037037037035,1.0,0.5405405405405406,0.40361077974525594,0.5196486928104574
HydraulicSystems,valve_condition,5,40,Graph Ridge Logistic,1296,216,648,0.32407407407407407,0.2777777777777778,0.37037037037037035,420,60,240,f1,0.20503981959506384,0.48,0.5540441176470589,0.408983451536643,0.7208333333333333,0.521870286576169,0.41097569196800054,0.5537479575163399
HydraulicSystems,valve_condition,5,40,Sensor+Graph Logistic,1296,216,648,0.32407407407407407,0.2777777777777778,0.37037037037037035,420,60,240,f1,0.009516913073745498,0.47413793103448276,0.5268382352941177,0.38475177304964536,0.9041666666666667,0.5398009950248757,0.4245979487687791,0.567984068627451
HydraulicSystems,valve_condition,5,40,STCG-v1 Selected Logistic,1296,216,648,0.32407407407407407,0.2777777777777778,0.37037037037037035,420,60,240,f1,0.0006458376690484657,0.43478260869565216,0.508578431372549,0.374414976599064,1.0,0.5448354143019296,0.37997232701473815,0.5425245098039215
HydraulicSystems,valve_condition,5,40,Sensor+STCG-v1 Logistic,1296,216,648,0.32407407407407407,0.2777777777777778,0.37037037037037035,420,60,240,f1,0.02636307362520283,0.5114155251141552,0.5238970588235294,0.3826530612244898,0.9375,0.5434782608695652,0.38769474553600713,0.557077205882353
HydraulicSystems,valve_condition,10,40,Train Majority,1293,215,647,0.6504253673627224,0.5534883720930233,0.7418856259659969,841,119,480,f1,0.6504253673627224,0.7125748502994012,0.5,0.7418856259659969,1.0,0.8518189884649512,0.7418856259659969,0.5
HydraulicSystems,valve_condition,10,40,Sensor Logistic,1293,215,647,0.6504253673627224,0.5534883720930233,0.7418856259659969,841,119,480,f1,0.10126050918982062,0.8040540540540541,0.5,0.7418856259659969,1.0,0.8518189884649512,0.8519420082623061,0.6456337325349301
HydraulicSystems,valve_condition,10,40,Graph Ridge Logistic,1293,215,647,0.6504253673627224,0.5534883720930233,0.7418856259659969,841,119,480,f1,0.031132759676153053,0.8484848484848485,0.6551521956087825,0.816247582205029,0.8791666666666667,0.8465396188565697,0.8986247974940833,0.7624875249500999
HydraulicSystems,valve_condition,10,40,Sensor+Graph Logistic,1293,215,647,0.6504253673627224,0.5534883720930233,0.7418856259659969,841,119,480,f1,0.001771869660781517,0.7125748502994012,0.5039046906187625,0.7433903576982893,0.9958333333333333,0.8512911843276937,0.9088342737118289,0.7714071856287423
HydraulicSystems,valve_condition,10,40,STCG-v1 Selected Logistic,1293,215,647,0.6504253673627224,0.5534883720930233,0.7418856259659969,841,119,480,f1,4.5678894956756327e-07,0.7125748502994012,0.5226484530938124,0.7507936507936508,0.9854166666666667,0.8522522522522522,0.792775114290839,0.5904441117764472
HydraulicSystems,valve_condition,10,40,Sensor+STCG-v1 Logistic,1293,215,647,0.6504253673627224,0.5534883720930233,0.7418856259659969,841,119,480,f1,0.00021836876686472125,0.7125748502994012,0.5179640718562875,0.748829953198128,1.0,0.856378233719893,0.7885739801304747,0.6062999001996008
HydraulicSystems,stable_flag,3,40,Train Majority,1297,216,649,0.07555898226676946,0.06481481481481481,0.08166409861325115,98,14,53,f1,0.07555898226676946,0.12173913043478261,0.5,0.08166409861325115,1.0,0.150997150997151,0.08166409861325115,0.5
HydraulicSystems,stable_flag,3,40,Sensor Logistic,1297,216,649,0.07555898226676946,0.06481481481481481,0.08166409861325115,98,14,53,f1,0.3739438111971159,0.3076923076923077,0.5490376092186906,0.15625,0.18867924528301888,0.17094017094017094,0.11259865352999975,0.5826579713815373
HydraulicSystems,stable_flag,3,40,Graph Ridge Logistic,1297,216,649,0.07555898226676946,0.06481481481481481,0.08166409861325115,98,14,53,f1,0.9739702012296937,0.42105263157894735,0.5135811067493985,0.09090909090909091,0.24528301886792453,0.1326530612244898,0.13388599206863996,0.5833544383943269
HydraulicSystems,stable_flag,3,40,Sensor+Graph Logistic,1297,216,649,0.07555898226676946,0.06481481481481481,0.08166409861325115,98,14,53,f1,0.9648568758220448,0.3902439024390244,0.5169209826516399,0.09042553191489362,0.32075471698113206,0.14107883817427386,0.11653774858760367,0.5858237305305812
HydraulicSystems,stable_flag,3,40,STCG-v1 Selected Logistic,1297,216,649,0.07555898226676946,0.06481481481481481,0.08166409861325115,98,14,53,f1,0.1467488885787312,0.2,0.5420412814993035,0.09508196721311475,0.5471698113207547,0.16201117318435754,0.0839695381820036,0.5196277067240724
HydraulicSystems,stable_flag,3,40,Sensor+STCG-v1 Logistic,1297,216,649,0.07555898226676946,0.06481481481481481,0.08166409861325115,98,14,53,f1,0.01062442864090259,0.23157894736842105,0.5587723186020008,0.09490740740740741,0.7735849056603774,0.16907216494845362,0.096519436118798,0.5678105609725212
