config_id,config_rank,selection_objective,stcg_window_size,stcg_window_stride,state_count_distribution,inferred_state_count_distribution,dynamic_feature_nonzero_variance,dataset,label_column,horizon_cycles,lookback_cycles,method,train_rows,validation_rows,test_rows,train_positive_rate,validation_positive_rate,test_positive_rate,train_positives,validation_positives,test_positives,threshold_metric,threshold,validation_threshold_metric,balanced_accuracy,precision,recall,f1,average_precision,roc_auc
transition_L40_W16_S8,8,transition,16,8,4:2162,4:2162,8,HydraulicSystems,stable_flag,3,40,STCG-v1 Selected Logistic,1297,216,649,0.07555898226676946,0.06481481481481481,0.08166409861325115,98,14,53,f1,0.898525932644431,0.2641509433962264,0.4576104849943016,0.04838709677419355,0.11320754716981132,0.06779661016949153,0.07027182430685049,0.442509813853362
transition_L40_W24_S8,9,transition,24,8,3:2162,3:2162,6,HydraulicSystems,stable_flag,3,40,Sensor+STCG-v1 Logistic,1297,216,649,0.07555898226676946,0.06481481481481481,0.08166409861325115,98,14,53,f1,0.01062442864090259,0.23157894736842105,0.5587723186020008,0.09490740740740741,0.7735849056603774,0.16907216494845362,0.096519436118798,0.5678105609725212
stable_L40_W16_S8,2,stable,16,8,1:733;2:1427,1:733;2:1427,12,HydraulicSystems,stable_flag,5,40,STCG-v1 Selected Logistic,1296,216,648,0.11882716049382716,0.10185185185185185,0.12808641975308643,154,22,83,f1,0.3141980302876237,0.28865979381443296,0.4473717880371042,0.09,0.21686746987951808,0.127208480565371,0.1333721052639574,0.46378078686427127
transition_L30_W24_S8,7,transition,24,8,2:2170,2:2170,4,HydraulicSystems,stable_flag,5,30,Sensor+STCG-v1 Logistic,1302,217,651,0.11827956989247312,0.10138248847926268,0.12749615975422426,154,22,83,f1,0.0012132775203745046,0.358974358974359,0.5226539962667571,0.1388888888888889,0.4819277108433735,0.215633423180593,0.18023846432320803,0.5872221279484133
stable_L40_W24_S8,3,stable,24,8,1:2155,1:2155,0,HydraulicSystems,stable_flag,10,40,STCG-v1 Selected Logistic,1293,215,647,0.22815158546017014,0.19069767441860466,0.24420401854714066,295,41,158,f1,0.20481511802261407,0.4,0.5646242654862674,0.28095238095238095,0.7468354430379747,0.4083044982698962,0.24637694264184148,0.5468017913074992
stable_L30_W24_S8,1,stable,24,8,1:2165,1:2165,0,HydraulicSystems,stable_flag,10,30,Sensor+STCG-v1 Logistic,1299,217,649,0.22478829869130101,0.20276497695852536,0.24345146379044685,292,44,158,f1,0.0009566923192816768,0.4861111111111111,0.570580576967697,0.27882599580712786,0.8417721518987342,0.4188976377952756,0.3016630214185142,0.6042821418443373
stable_L60_W24_S8,5,stable,24,8,1:21;2:1566;3:432;4:123,1:21;2:1566;3:432;4:123,18,HydraulicSystems,valve_condition,3,60,STCG-v1 Selected Logistic,1285,214,643,0.19844357976653695,0.1542056074766355,0.223950233281493,255,33,144,f1,0.7075437299792263,0.38016528925619836,0.5424181696726786,0.27906976744186046,0.3333333333333333,0.3037974683544304,0.2549173406971286,0.534388220886217
stable_L60_W16_S8,4,stable,16,8,1:242;2:1132;3:467;4:301,1:242;2:1132;3:467;4:301,18,HydraulicSystems,valve_condition,3,60,Sensor+STCG-v1 Logistic,1285,214,643,0.19844357976653695,0.1542056074766355,0.223950233281493,255,33,144,f1,0.5139290808759761,0.45045045045045046,0.47292501670006676,0.1595744680851064,0.10416666666666667,0.12605042016806722,0.22290983076464566,0.48698786461812515
stable_L60_W16_S8,4,stable,16,8,1:242;2:1131;3:466;4:301,1:242;2:1131;3:466;4:301,18,HydraulicSystems,valve_condition,5,60,STCG-v1 Selected Logistic,1284,214,642,0.3309968847352025,0.2570093457943925,0.37383177570093457,425,55,240,f1,0.29302761401018684,0.5423728813559322,0.5048818407960198,0.3775,0.6291666666666667,0.471875,0.38150728149547475,0.5038764510779435
transition_L60_W16_S8,10,transition,16,8,2:5;3:363;4:1772,2:5;3:363;4:1772,18,HydraulicSystems,valve_condition,5,60,Sensor+STCG-v1 Logistic,1284,214,642,0.3309968847352025,0.2570093457943925,0.37383177570093457,425,55,240,f1,0.10440012189592722,0.5847953216374269,0.5190609452736319,0.3849129593810445,0.8291666666666667,0.5257595772787318,0.36221261057000276,0.4922160033167496
stable_L60_W24_S8,5,stable,24,8,1:21;2:1560;3:432;4:122,1:21;2:1560;3:432;4:122,18,HydraulicSystems,valve_condition,10,60,STCG-v1 Selected Logistic,1281,213,641,0.6627634660421545,0.5211267605633803,0.748829953198128,849,111,480,f1,0.9980899718068764,0.863849765258216,0.5105590062111801,0.758893280632411,0.4,0.5238744884038199,0.771871356571397,0.48550724637681164
stable_L60_W24_S8,5,stable,24,8,1:21;2:1560;3:432;4:122,1:21;2:1560;3:432;4:122,18,HydraulicSystems,valve_condition,10,60,Sensor+STCG-v1 Logistic,1281,213,641,0.6627634660421545,0.5211267605633803,0.748829953198128,849,111,480,f1,0.8695387536644427,0.8622222222222222,0.5794254658385093,0.8046647230320699,0.575,0.6707168894289186,0.8398844964150324,0.6184006211180124
