dataset,seed,window_id,start,end,center,true_label,label_purity,inferred_state,aligned_state_label,match
OccupancySensors,0,0,0,300,150.0,1,0.6766666666666666,0,0,0
OccupancySensors,0,1,150,450,300.0,0,0.8233333333333334,0,0,1
OccupancySensors,0,2,300,600,450.0,0,1.0,0,0,1
OccupancySensors,0,3,450,750,600.0,0,1.0,0,0,1
OccupancySensors,0,4,600,900,750.0,0,1.0,0,0,1
OccupancySensors,0,5,750,1050,900.0,0,0.97,0,0,1
OccupancySensors,0,6,900,1200,1050.0,1,0.5233333333333333,0,0,0
OccupancySensors,0,7,1050,1350,1200.0,1,0.98,0,0,0
OccupancySensors,0,8,1200,1500,1350.0,1,0.8933333333333333,0,0,0
OccupancySensors,0,9,1350,1650,1500.0,1,0.9066666666666666,0,0,0
OccupancySensors,0,10,1500,1800,1650.0,1,0.58,0,0,0
OccupancySensors,0,11,1650,1950,1800.0,0,0.92,0,0,1
OccupancySensors,0,12,1800,2100,1950.0,0,1.0,0,0,1
OccupancySensors,0,13,1950,2250,2100.0,0,1.0,0,0,1
OccupancySensors,0,14,2100,2400,2250.0,0,1.0,0,0,1
OccupancySensors,0,15,2250,2550,2400.0,0,0.8033333333333333,0,0,1
OccupancySensors,0,16,2400,2700,2550.0,1,0.62,0,0,0
OccupancySensors,0,17,2550,2850,2700.0,0,0.5766666666666667,0,0,1
OccupancySensors,0,18,2700,3000,2850.0,0,1.0,0,0,1
OccupancySensors,0,19,2850,3150,3000.0,0,1.0,0,0,1
OccupancySensors,0,20,3000,3300,3150.0,0,1.0,0,0,1
OccupancySensors,0,21,3150,3450,3300.0,0,1.0,0,0,1
OccupancySensors,0,22,3300,3600,3450.0,0,0.6533333333333333,0,0,1
OccupancySensors,0,23,3450,3750,3600.0,1,0.8333333333333334,0,0,0
OccupancySensors,0,24,3600,3900,3750.0,1,0.72,0,0,0
OccupancySensors,0,25,3750,4050,3900.0,1,0.7333333333333333,0,0,0
OccupancySensors,0,26,3900,4200,4050.0,1,0.73,0,0,0
OccupancySensors,0,27,4050,4350,4200.0,0,0.77,0,0,1
OccupancySensors,0,28,4200,4500,4350.0,0,1.0,0,0,1
OccupancySensors,0,29,4350,4650,4500.0,0,1.0,0,0,1
OccupancySensors,0,30,4500,4800,4650.0,0,1.0,0,0,1
OccupancySensors,0,31,4650,4950,4800.0,0,0.9733333333333334,0,0,1
OccupancySensors,0,32,4800,5100,4950.0,1,0.5266666666666666,0,0,0
OccupancySensors,0,33,4950,5250,5100.0,1,0.98,0,0,0
OccupancySensors,0,34,5100,5400,5250.0,1,0.89,0,0,0
OccupancySensors,0,35,5250,5550,5400.0,1,0.91,0,0,0
OccupancySensors,0,36,5400,5700,5550.0,1,0.5366666666666666,0,0,0
OccupancySensors,0,37,5550,5850,5700.0,0,0.9633333333333334,0,0,1
OccupancySensors,0,38,5700,6000,5850.0,0,1.0,0,0,1
OccupancySensors,0,39,5850,6150,6000.0,0,1.0,0,0,1
OccupancySensors,0,40,6000,6300,6150.0,0,1.0,0,0,1
OccupancySensors,0,41,6150,6450,6300.0,0,1.0,0,0,1
OccupancySensors,0,42,6300,6600,6450.0,0,1.0,0,0,1
OccupancySensors,0,43,6450,6750,6600.0,0,1.0,0,0,1
OccupancySensors,0,44,6600,6900,6750.0,0,1.0,0,0,1
OccupancySensors,0,45,6750,7050,6900.0,0,1.0,0,0,1
OccupancySensors,0,46,6900,7200,7050.0,0,1.0,0,0,1
OccupancySensors,0,47,7050,7350,7200.0,0,1.0,0,0,1
OccupancySensors,0,48,7200,7500,7350.0,0,1.0,0,0,1
OccupancySensors,0,49,7350,7650,7500.0,0,1.0,0,0,1
OccupancySensors,0,50,7500,7800,7650.0,0,1.0,0,0,1
OccupancySensors,0,51,7650,7950,7800.0,0,1.0,0,0,1
OccupancySensors,0,52,7800,8100,7950.0,0,1.0,0,0,1
OccupancySensors,0,53,7950,8250,8100.0,0,1.0,0,0,1
OccupancySensors,0,54,8100,8400,8250.0,0,1.0,0,0,1
OccupancySensors,0,55,8250,8550,8400.0,0,1.0,0,0,1
OccupancySensors,0,56,8400,8700,8550.0,0,1.0,0,0,1
OccupancySensors,0,57,8550,8850,8700.0,0,1.0,0,0,1
OccupancySensors,0,58,8700,9000,8850.0,0,1.0,0,0,1
OccupancySensors,0,59,8850,9150,9000.0,0,1.0,0,0,1
OccupancySensors,0,60,9000,9300,9150.0,0,1.0,0,0,1
OccupancySensors,0,61,9150,9450,9300.0,0,0.5733333333333334,0,0,1
OccupancySensors,0,62,9300,9600,9450.0,1,0.88,0,0,0
OccupancySensors,0,63,9450,9750,9600.0,1,0.9233333333333333,0,0,0
OccupancySensors,0,64,9600,9900,9750.0,1,0.9,0,0,0
OccupancySensors,0,65,9750,10050,9900.0,0,0.57,0,0,1
OccupancySensors,0,66,9900,10200,10050.0,0,1.0,0,0,1
OccupancySensors,0,67,10050,10350,10200.0,0,1.0,0,0,1
OccupancySensors,0,68,10200,10500,10350.0,0,1.0,0,0,1
OccupancySensors,0,69,10350,10650,10500.0,0,1.0,0,0,1
OccupancySensors,0,70,10500,10800,10650.0,0,0.8466666666666667,0,0,1
OccupancySensors,0,71,10650,10950,10800.0,1,0.6433333333333333,0,0,0
OccupancySensors,0,72,10800,11100,10950.0,1,0.74,0,0,0
