dataset,seed,window_id,start,end,center,true_label,label_purity,inferred_state,aligned_state_label,match
UCIHARWindowSignals,0,0,0,300,150.0,WALKING,0.31666666666666665,0,LAYING,0
UCIHARWindowSignals,0,1,150,450,300.0,WALKING,0.21333333333333335,0,LAYING,0
UCIHARWindowSignals,0,2,300,600,450.0,STANDING,0.20333333333333334,0,LAYING,0
UCIHARWindowSignals,0,3,450,750,600.0,WALKING_UPSTAIRS,0.19666666666666666,0,LAYING,0
UCIHARWindowSignals,0,4,600,900,750.0,WALKING,0.19,0,LAYING,0
UCIHARWindowSignals,0,5,750,1050,900.0,STANDING,0.19333333333333333,0,LAYING,0
UCIHARWindowSignals,0,6,900,1200,1050.0,STANDING,0.19,0,LAYING,0
UCIHARWindowSignals,0,7,1050,1350,1200.0,WALKING,0.19,0,LAYING,0
UCIHARWindowSignals,0,8,1200,1500,1350.0,WALKING,0.19,0,LAYING,0
UCIHARWindowSignals,0,9,1350,1650,1500.0,WALKING,0.19,0,LAYING,0
UCIHARWindowSignals,0,10,1500,1800,1650.0,SITTING,0.18333333333333332,0,LAYING,0
UCIHARWindowSignals,0,11,1650,1950,1800.0,SITTING,0.22,0,LAYING,0
UCIHARWindowSignals,0,12,1800,2100,1950.0,LAYING,0.19666666666666666,0,LAYING,1
UCIHARWindowSignals,0,13,1950,2250,2100.0,WALKING,0.19666666666666666,0,LAYING,0
UCIHARWindowSignals,0,14,2100,2400,2250.0,WALKING,0.2,0,LAYING,0
UCIHARWindowSignals,0,15,2250,2550,2400.0,WALKING,0.19666666666666666,0,LAYING,0
UCIHARWindowSignals,0,16,2400,2700,2550.0,LAYING,0.2,0,LAYING,1
UCIHARWindowSignals,0,17,2550,2850,2700.0,LAYING,0.24,0,LAYING,1
UCIHARWindowSignals,0,18,2700,3000,2850.0,LAYING,0.24333333333333335,0,LAYING,1
UCIHARWindowSignals,0,19,2850,3150,3000.0,STANDING,0.26,0,LAYING,0
UCIHARWindowSignals,0,20,3000,3300,3150.0,STANDING,0.2833333333333333,0,LAYING,0
UCIHARWindowSignals,0,21,3150,3450,3300.0,STANDING,0.22,0,LAYING,0
UCIHARWindowSignals,0,22,3300,3600,3450.0,LAYING,0.23666666666666666,0,LAYING,1
UCIHARWindowSignals,0,23,3450,3750,3600.0,LAYING,0.25666666666666665,0,LAYING,1
UCIHARWindowSignals,0,24,3600,3900,3750.0,LAYING,0.26666666666666666,0,LAYING,1
