dataset,seed,window_id,start,end,center,inferred_state
synthetic_switching,0,0,0,300,150.0,1
synthetic_switching,0,1,150,450,300.0,1
synthetic_switching,0,2,300,600,450.0,0
synthetic_switching,0,3,400,700,550.0,0
synthetic_switching,1,0,0,300,150.0,1
synthetic_switching,1,1,150,450,300.0,1
synthetic_switching,1,2,300,600,450.0,1
synthetic_switching,1,3,400,700,550.0,0
synthetic_switching,2,0,0,300,150.0,0
synthetic_switching,2,1,150,450,300.0,0
synthetic_switching,2,2,300,600,450.0,1
synthetic_switching,2,3,400,700,550.0,1
synthetic_switching,3,0,0,300,150.0,1
synthetic_switching,3,1,150,450,300.0,1
synthetic_switching,3,2,300,600,450.0,0
synthetic_switching,3,3,400,700,550.0,0
synthetic_switching,4,0,0,300,150.0,0
synthetic_switching,4,1,150,450,300.0,0
synthetic_switching,4,2,300,600,450.0,1
synthetic_switching,4,3,400,700,550.0,1
