dataset,seed,rank,lag,source,target,source_index,target_index,score
synthetic_switching,0,1,1,x2,x4,2,4,0.37525517569594297
synthetic_switching,0,2,1,x6,x5,6,5,0.35033683766837187
synthetic_switching,0,3,1,x1,x3,1,3,0.34292161066682897
synthetic_switching,0,4,1,x1,x5,1,5,0.33823198957446826
synthetic_switching,0,5,1,x7,x6,7,6,0.3113480329566484
synthetic_switching,0,6,1,x0,x2,0,2,0.30242093783241514
synthetic_switching,0,7,1,x0,x3,0,3,0.30185288943657285
synthetic_switching,0,8,1,x4,x0,4,0,0.2737850287496299
synthetic_switching,0,9,1,x1,x7,1,7,0.2295605879660942
synthetic_switching,0,10,3,x5,x4,5,4,0.2234871395099286
synthetic_switching,0,11,2,x5,x7,5,7,0.20503446672427506
synthetic_switching,0,12,2,x2,x6,2,6,0.20083156132481655
synthetic_switching,0,13,1,x7,x3,7,3,0.19033205681538606
synthetic_switching,0,14,3,x6,x1,6,1,0.18928977866899208
synthetic_switching,0,15,1,x5,x3,5,3,0.18120276182972198
synthetic_switching,0,16,2,x3,x1,3,1,0.1680018537991831
synthetic_switching,0,17,3,x4,x1,4,1,0.160717447908097
synthetic_switching,0,18,1,x6,x0,6,0,0.15769927219451438
synthetic_switching,0,19,2,x6,x2,6,2,0.15514769447245233
synthetic_switching,0,20,1,x6,x7,6,7,0.1370350448277176
synthetic_switching,0,21,3,x1,x5,1,5,0.1310828450132595
synthetic_switching,0,22,3,x2,x4,2,4,0.1289393119727754
synthetic_switching,0,23,3,x1,x6,1,6,0.12508495155534582
synthetic_switching,0,24,3,x4,x5,4,5,0.12245273604677231
synthetic_switching,0,25,3,x1,x7,1,7,0.12002643060870363
synthetic_switching,0,26,3,x3,x1,3,1,0.11803107806662877
synthetic_switching,0,27,3,x3,x2,3,2,0.1137543580516664
synthetic_switching,0,28,2,x6,x4,6,4,0.10920961527930767
synthetic_switching,0,29,2,x7,x5,7,5,0.1086277779323247
synthetic_switching,0,30,1,x6,x3,6,3,0.10808057093911577
synthetic_switching,1,1,1,x0,x6,0,6,0.27839099237788467
synthetic_switching,1,2,1,x0,x7,0,7,0.26192692668504325
synthetic_switching,1,3,1,x2,x6,2,6,0.2487079210339985
synthetic_switching,1,4,1,x7,x1,7,1,0.23619481082902677
