dataset,seed,method,graph_fraction,lasso_alpha,window_size,window_stride,feature_budget_per_target,mae,rmse,node_rmse_mean,node_rmse_max
ETTh1,0,Persistence,0.25,0.001,300,150,0,0.269241262267238,0.439274730676546,0.4061337454035368,0.573608722921841
ETTh1,0,Dense Ridge,0.25,0.001,300,150,0,0.26226889010382226,0.4085396524529783,0.3801217388346658,0.5554508338509985
ETTh1,0,Nonself Dense Ridge,0.25,0.001,300,150,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,DynVAR-Lasso Graph Ridge,0.25,0.001,300,150,5,0.5877959907394182,0.7977705840746527,0.7329706250619455,1.4562238962023861
ETTh1,0,STCG-v1 Graph Ridge,0.25,0.001,300,150,5,0.5877959907394182,0.7977705840746527,0.7329706250619455,1.4562238962023861
ETTh1,0,Persistence,0.5,0.001,300,150,0,0.269241262267238,0.439274730676546,0.4061337454035368,0.573608722921841
ETTh1,0,Dense Ridge,0.5,0.001,300,150,0,0.26226889010382226,0.4085396524529783,0.3801217388346658,0.5554508338509985
ETTh1,0,Nonself Dense Ridge,0.5,0.001,300,150,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,DynVAR-Lasso Graph Ridge,0.5,0.001,300,150,9,0.5393261719749152,0.7876937336430264,0.6738434380142929,1.646193348777689
ETTh1,0,STCG-v1 Graph Ridge,0.5,0.001,300,150,9,0.5393261719749152,0.7876937336430264,0.6738434380142929,1.646193348777689
ETTh1,0,Persistence,0.75,0.001,300,150,0,0.269241262267238,0.439274730676546,0.4061337454035368,0.573608722921841
ETTh1,0,Dense Ridge,0.75,0.001,300,150,0,0.26226889010382226,0.4085396524529783,0.3801217388346658,0.5554508338509985
ETTh1,0,Nonself Dense Ridge,0.75,0.001,300,150,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,DynVAR-Lasso Graph Ridge,0.75,0.001,300,150,14,0.5272499392461288,0.7816103242411998,0.6598319793836698,1.660205069652454
ETTh1,0,STCG-v1 Graph Ridge,0.75,0.001,300,150,14,0.5272499392461288,0.7816103242411998,0.6598319793836698,1.660205069652454
ETTh1,0,Persistence,1.0,0.001,300,150,0,0.269241262267238,0.439274730676546,0.4061337454035368,0.573608722921841
ETTh1,0,Dense Ridge,1.0,0.001,300,150,0,0.26226889010382226,0.4085396524529783,0.3801217388346658,0.5554508338509985
ETTh1,0,Nonself Dense Ridge,1.0,0.001,300,150,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,DynVAR-Lasso Graph Ridge,1.0,0.001,300,150,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,STCG-v1 Graph Ridge,1.0,0.001,300,150,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,Persistence,0.25,0.001,600,300,0,0.269241262267238,0.439274730676546,0.4061337454035368,0.573608722921841
ETTh1,0,Dense Ridge,0.25,0.001,600,300,0,0.26226889010382226,0.4085396524529783,0.3801217388346658,0.5554508338509985
ETTh1,0,Nonself Dense Ridge,0.25,0.001,600,300,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,DynVAR-Lasso Graph Ridge,0.25,0.001,600,300,5,0.5505192852623596,0.7765487456207105,0.6893738343541636,1.5214552788603373
ETTh1,0,STCG-v1 Graph Ridge,0.25,0.001,600,300,5,0.5505192852623596,0.7765487456207105,0.6893738343541636,1.5214552788603373
ETTh1,0,Persistence,0.5,0.001,600,300,0,0.269241262267238,0.439274730676546,0.4061337454035368,0.573608722921841
ETTh1,0,Dense Ridge,0.5,0.001,600,300,0,0.26226889010382226,0.4085396524529783,0.3801217388346658,0.5554508338509985
ETTh1,0,Nonself Dense Ridge,0.5,0.001,600,300,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,DynVAR-Lasso Graph Ridge,0.5,0.001,600,300,9,0.5259257356543776,0.777321713610956,0.6577812068534422,1.6478379153517493
ETTh1,0,STCG-v1 Graph Ridge,0.5,0.001,600,300,9,0.5259257356543776,0.777321713610956,0.6577812068534422,1.6478379153517493
ETTh1,0,Persistence,0.75,0.001,600,300,0,0.269241262267238,0.439274730676546,0.4061337454035368,0.573608722921841
ETTh1,0,Dense Ridge,0.75,0.001,600,300,0,0.26226889010382226,0.4085396524529783,0.3801217388346658,0.5554508338509985
ETTh1,0,Nonself Dense Ridge,0.75,0.001,600,300,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,DynVAR-Lasso Graph Ridge,0.75,0.001,600,300,14,0.5229222585654772,0.7782564403076867,0.6543711442394485,1.6587625246414375
