dataset,seed,method,ridge_alpha,graph_min_weight,graph_weight_power,graph_self_weight,mae,rmse,node_rmse_mean,node_rmse_max
AReMActivities,0,Persistence,nan,,,,0.6756332018272379,1.128004815532663,1.0136580286098675,1.857819750237814
AReMActivities,0,Dense Ridge,0.1,,,,0.5740649849535541,0.9118002633608264,0.8422507200006369,1.455507612772668
AReMActivities,0,DynVAR-Lasso Weighted Ridge,0.1,0.01,0.5,1.0,0.574064819647752,0.911800066835021,0.8422504974909931,1.4555074684150737
AReMActivities,0,STCG-v1 Weighted Ridge,0.1,0.01,0.5,1.0,0.574064819647752,0.911800066835021,0.8422504974909931,1.4555074684150737
AReMActivities,0,DynVAR-Lasso Weighted Ridge,0.1,0.01,1.0,1.0,0.5740645918318321,0.911799799534078,0.8422501955633089,1.4555072925760755
AReMActivities,0,STCG-v1 Weighted Ridge,0.1,0.01,1.0,1.0,0.5740645918318321,0.911799799534078,0.8422501955633089,1.4555072925760755
AReMActivities,0,DynVAR-Lasso Weighted Ridge,0.1,0.01,2.0,1.0,0.5740638076525132,0.9117988949166719,0.8422491846560055,1.4555067866629883
AReMActivities,0,STCG-v1 Weighted Ridge,0.1,0.01,2.0,1.0,0.5740638076525132,0.9117988949166719,0.8422491846560055,1.4555067866629883
AReMActivities,0,DynVAR-Lasso Weighted Ridge,0.1,0.01,4.0,1.0,0.5740599161716969,0.9117945176849812,0.8422443181097162,1.455504878399905
AReMActivities,0,STCG-v1 Weighted Ridge,0.1,0.01,4.0,1.0,0.5740599161716969,0.9117945176849812,0.8422443181097162,1.455504878399905
AReMActivities,0,DynVAR-Lasso Weighted Ridge,0.1,0.03,0.5,1.0,0.5740648242430115,0.9118000722270928,0.842250503580992,1.4555074719639816
AReMActivities,0,STCG-v1 Weighted Ridge,0.1,0.03,0.5,1.0,0.5740648242430115,0.9118000722270928,0.842250503580992,1.4555074719639816
AReMActivities,0,DynVAR-Lasso Weighted Ridge,0.1,0.03,1.0,1.0,0.5740646079236341,0.9117998180999296,0.8422502162667159,1.4555073029976942
AReMActivities,0,STCG-v1 Weighted Ridge,0.1,0.03,1.0,1.0,0.5740646079236341,0.9117998180999296,0.8422502162667159,1.4555073029976942
AReMActivities,0,DynVAR-Lasso Weighted Ridge,0.1,0.03,2.0,1.0,0.5740639288930797,0.9117990324730063,0.8422493322117853,1.4555068491792615
AReMActivities,0,STCG-v1 Weighted Ridge,0.1,0.03,2.0,1.0,0.5740639288930797,0.9117990324730063,0.8422493322117853,1.4555068491792615
AReMActivities,0,DynVAR-Lasso Weighted Ridge,0.1,0.03,4.0,1.0,0.5740616239121783,0.9117964024219789,0.8422463320243274,1.4555053675941378
AReMActivities,0,STCG-v1 Weighted Ridge,0.1,0.03,4.0,1.0,0.5740616239121783,0.9117964024219789,0.8422463320243274,1.4555053675941378
AReMActivities,0,DynVAR-Lasso Weighted Ridge,0.1,0.1,0.5,1.0,0.5740648397180341,0.9118000904127941,0.8422505241377863,1.4555074840894702
AReMActivities,0,STCG-v1 Weighted Ridge,0.1,0.1,0.5,1.0,0.5740648397180341,0.9118000904127941,0.8422505241377863,1.4555074840894702
AReMActivities,0,DynVAR-Lasso Weighted Ridge,0.1,0.1,1.0,1.0,0.5740646580509834,0.9117998760949072,0.8422502812675076,1.4555073364584055
AReMActivities,0,STCG-v1 Weighted Ridge,0.1,0.1,1.0,1.0,0.5740646580509834,0.9117998760949072,0.8422502812675076,1.4555073364584055
AReMActivities,0,DynVAR-Lasso Weighted Ridge,0.1,0.1,2.0,1.0,0.5740641908111317,0.9117993294777929,0.842249658997911,1.4555069844153572
AReMActivities,0,STCG-v1 Weighted Ridge,0.1,0.1,2.0,1.0,0.5740641908111317,0.9117993294777929,0.842249658997911,1.4555069844153572
AReMActivities,0,DynVAR-Lasso Weighted Ridge,0.1,0.1,4.0,1.0,0.57406309743319,0.911798041012101,0.8422481566180456,1.4555061290887406
AReMActivities,0,STCG-v1 Weighted Ridge,0.1,0.1,4.0,1.0,0.57406309743319,0.911798041012101,0.8422481566180456,1.4555061290887406
AReMActivities,0,DynVAR-Lasso Weighted Ridge,0.1,0.3,0.5,1.0,0.5740648795035586,0.9118001373696495,0.8422505773066025,1.4555075165594598
AReMActivities,0,STCG-v1 Weighted Ridge,0.1,0.3,0.5,1.0,0.5740648795035586,0.9118001373696495,0.8422505773066025,1.4555075165594598
AReMActivities,0,DynVAR-Lasso Weighted Ridge,0.1,0.3,1.0,1.0,0.5740647670464173,0.911800003287642,0.842250425067204,1.4555074161296335
AReMActivities,0,STCG-v1 Weighted Ridge,0.1,0.3,1.0,1.0,0.5740647670464173,0.911800003287642,0.842250425067204,1.4555074161296335
AReMActivities,0,DynVAR-Lasso Weighted Ridge,0.1,0.3,2.0,1.0,0.5740645442352222,0.9117997365239372,0.8422501201626073,1.4555072127000632
AReMActivities,0,STCG-v1 Weighted Ridge,0.1,0.3,2.0,1.0,0.5740645442352222,0.9117997365239372,0.8422501201626073,1.4555072127000632
AReMActivities,0,DynVAR-Lasso Weighted Ridge,0.1,0.3,4.0,1.0,0.5740641795988461,0.9117992906334288,0.8422496069525135,1.455506845637091
AReMActivities,0,STCG-v1 Weighted Ridge,0.1,0.3,4.0,1.0,0.5740641795988461,0.9117992906334288,0.8422496069525135,1.455506845637091
AReMActivities,0,DynVAR-Lasso Weighted Ridge,0.1,0.6,0.5,1.0,0.5740649298687558,0.9118001972569303,0.8422506451863838,1.4555075605506773
AReMActivities,0,STCG-v1 Weighted Ridge,0.1,0.6,0.5,1.0,0.5740649298687558,0.9118001972569303,0.8422506451863838,1.4555075605506773
AReMActivities,0,DynVAR-Lasso Weighted Ridge,0.1,0.6,1.0,1.0,0.5740648802775251,0.9118001373704403,0.842250577403909,1.4555075111235183
AReMActivities,0,STCG-v1 Weighted Ridge,0.1,0.6,1.0,1.0,0.5740648802775251,0.9118001373704403,0.842250577403909,1.4555075111235183
AReMActivities,0,DynVAR-Lasso Weighted Ridge,0.1,0.6,2.0,1.0,0.5740647993000257,0.9118000382422278,0.842250465502323,1.4555074219274817
AReMActivities,0,STCG-v1 Weighted Ridge,0.1,0.6,2.0,1.0,0.5740647993000257,0.9118000382422278,0.842250465502323,1.4555074219274817
AReMActivities,0,DynVAR-Lasso Weighted Ridge,0.1,0.6,4.0,1.0,0.5740646947191397,0.9117999061126747,0.8422503198752872,1.455507276395557
AReMActivities,0,STCG-v1 Weighted Ridge,0.1,0.6,4.0,1.0,0.5740646947191397,0.9117999061126747,0.8422503198752872,1.455507276395557
AReMActivities,0,Dense Ridge,0.3,,,,0.5740603225254753,0.9117942986299563,0.8422435377389094,1.4555046607618793
AReMActivities,0,DynVAR-Lasso Weighted Ridge,0.3,0.01,0.5,1.0,0.5740598267115105,0.9117937092500579,0.8422428704386101,1.4555042278334087
