dataset,method,n,ridge_alpha,graph_min_weight,graph_weight_power,graph_self_weight,mae_mean,mae_std,rmse_mean,rmse_std,node_rmse_mean_mean,node_rmse_mean_std,node_rmse_max_mean,node_rmse_max_std,delta_vs_same_alpha_dense_rmse,delta_vs_best_dense_rmse,delta_vs_persistence_rmse,beats_same_alpha_dense,beats_best_dense,beats_persistence,meaningfully_beats_same_alpha_dense,meaningfully_beats_best_dense,meaningfully_beats_persistence
AReMActivities,Persistence,5,nan,,,,0.6756332018272379,0.0,1.128004815532663,0.0,1.0136580286098675,0.0,1.8578197502378138,2.482534153247273e-16,nan,0.21888929306210136,0.0,False,False,False,False,False,False
AReMActivities,Dense Ridge,5,0.1,,,,0.5740649849535541,0.0,0.9118002633608263,1.2412670766236366e-16,0.842250720000637,1.2412670766236366e-16,1.455507612772668,0.0,0.0,0.002684740890264714,-0.21620455217183665,False,False,True,False,False,True
AReMActivities,Dense Ridge,5,0.3,,,,0.5740603225254753,0.0,0.9117942986299564,1.2412670766236366e-16,0.8422435377389095,1.2412670766236366e-16,1.4555046607618793,0.0,0.0,0.0026787761593948245,-0.21621051690270654,False,False,True,False,False,True
AReMActivities,Dense Ridge,5,1.0,,,,0.5740440162749669,0.0,0.9117734425684809,0.0,0.842218423376087,0.0,1.455494341239059,0.0,0.0,0.0026579200979193196,-0.21623137296418204,False,False,True,False,False,True
AReMActivities,Dense Ridge,5,3.0,,,,0.5739976077985627,0.0,0.911714028994526,1.2412670766236366e-16,0.8421468693611237,0.0,1.4554649639140436,0.0,0.0,0.002598506523964428,-0.21629078653813694,False,False,True,False,False,True
AReMActivities,Dense Ridge,5,10.0,,,,0.5738368402727688,0.0,0.9115081053954028,1.2412670766236366e-16,0.8418987565771173,0.0,1.4553633824217613,0.0,0.0,0.0023925829248412356,-0.21649671013726013,False,False,True,False,False,True
AReMActivities,Dense Ridge,5,30.0,,,,0.5733895262668768,0.0,0.9109366077707814,0.0,0.8412092464597661,0.0,1.4550835330620835,0.0,0.0,0.001821085300219849,-0.21706820776188152,False,False,True,False,False,True
AReMActivities,Dense Ridge,5,100.0,,,,0.5719614744699092,0.0,0.9091155224705616,1.2412670766236366e-16,0.8390023121022032,1.2412670766236366e-16,1.454216576596745,0.0,0.0,0.0,-0.21888929306210136,False,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.1,0.01,0.5,1.0,0.574064819647752,0.0,0.9118000668350209,1.2412670766236366e-16,0.842250497490993,1.2412670766236366e-16,1.4555074684150737,0.0,-1.9652580540707731e-07,0.002684544364459307,-0.21620474869764206,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.1,0.01,1.0,1.0,0.5740645918318321,0.0,0.911799799534078,0.0,0.8422501955633089,0.0,1.4555072925760755,0.0,-4.638267483425551e-07,0.0026842770635163715,-0.216205015998585,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.1,0.01,2.0,1.0,0.5740638076525132,0.0,0.9117988949166719,0.0,0.8422491846560055,0.0,1.4555067866629883,0.0,-1.368444154437043e-06,0.002683372446110277,-0.2162059206159911,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.1,0.01,4.0,1.0,0.5740599161716969,0.0,0.9117945176849812,0.0,0.8422443181097161,1.2412670766236366e-16,1.455504878399905,0.0,-5.745675845103548e-06,0.0026789952144196105,-0.21621029784768175,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.1,0.03,0.5,1.0,0.5740648242430115,0.0,0.9118000722270928,0.0,0.842250503580992,0.0,1.4555074719639816,0.0,-1.9113373350698737e-07,0.002684549756531207,-0.21620474330557016,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.1,0.03,1.0,1.0,0.5740646079236341,0.0,0.9117998180999296,0.0,0.8422502162667159,0.0,1.4555073029976942,0.0,-4.4526089670871016e-07,0.0026842956293680054,-0.21620499743273336,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.1,0.03,2.0,1.0,0.5740639288930797,0.0,0.9117990324730062,1.2412670766236366e-16,0.8422493322117853,0.0,1.4555068491792615,0.0,-1.230887820113935e-06,0.0026835100024446,-0.21620578305965676,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.1,0.03,4.0,1.0,0.5740616239121783,0.0,0.9117964024219789,0.0,0.8422463320243274,0.0,1.4555053675941378,0.0,-3.8609388474109e-06,0.002680879951417303,-0.21620841311068406,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.1,0.1,0.5,1.0,0.5740648397180341,0.0,0.9118000904127941,0.0,0.8422505241377862,1.2412670766236366e-16,1.4555074840894702,0.0,-1.729480322287813e-07,0.0026845679422324853,-0.21620472511986888,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.1,0.1,1.0,1.0,0.5740646580509834,0.0,0.9117998760949073,1.2412670766236366e-16,0.8422502812675076,0.0,1.4555073364584055,0.0,-3.8726591899962415e-07,0.0026843536243457145,-0.21620493943775565,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.1,0.1,2.0,1.0,0.5740641908111317,0.0,0.9117993294777929,0.0,0.8422496589979109,1.2412670766236366e-16,1.4555069844153572,0.0,-9.338830334604253e-07,0.0026838070072312536,-0.2162054860548701,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.1,0.1,4.0,1.0,0.57406309743319,0.0,0.911798041012101,0.0,0.8422481566180456,0.0,1.4555061290887406,0.0,-2.2223487252670537e-06,0.002682518541539447,-0.21620677452056192,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.1,0.3,0.5,1.0,0.5740648795035586,0.0,0.9118001373696496,1.2412670766236366e-16,0.8422505773066025,0.0,1.4555075165594598,0.0,-1.259911767137467e-07,0.0026846148990880003,-0.21620467816301336,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.1,0.3,1.0,1.0,0.5740647670464173,0.0,0.911800003287642,0.0,0.8422504250672042,1.2412670766236366e-16,1.4555074161296335,0.0,-2.6007318432164084e-07,0.0026844808170803924,-0.21620481224502097,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.1,0.3,2.0,1.0,0.5740645442352222,0.0,0.9117997365239372,0.0,0.8422501201626073,0.0,1.4555072127000632,0.0,-5.268368891142572e-07,0.0026842140533756,-0.21620507900872576,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.1,0.3,4.0,1.0,0.5740641795988461,0.0,0.9117992906334289,1.2412670766236366e-16,0.8422496069525135,0.0,1.455506845637091,0.0,-9.727273974080575e-07,0.002683768162867306,-0.21620552489923406,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.1,0.6,0.5,1.0,0.5740649298687558,0.0,0.9118001972569303,0.0,0.8422506451863839,1.2412670766236366e-16,1.4555075605506773,0.0,-6.610389602368372e-08,0.0026846747863686904,-0.21620461827573267,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.1,0.6,1.0,1.0,0.5740648802775251,0.0,0.9118001373704402,1.2412670766236366e-16,0.842250577403909,0.0,1.4555075111235183,0.0,-1.2599038612393088e-07,0.00268461489987859,-0.21620467816222277,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.1,0.6,2.0,1.0,0.5740647993000257,0.0,0.9118000382422278,0.0,0.8422504655023231,1.2412670766236366e-16,1.4555074219274817,0.0,-2.2511859854024152e-07,0.002684515771666174,-0.2162047772904352,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.1,0.6,4.0,1.0,0.5740646947191397,0.0,0.9117999061126747,0.0,0.8422503198752873,1.2412670766236366e-16,1.455507276395557,0.0,-3.572481516167514e-07,0.0026843836421130973,-0.21620490941998827,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.3,0.01,0.5,1.0,0.5740598267115105,0.0,0.9117937092500579,0.0,0.8422428704386101,0.0,1.4555042278334087,0.0,-5.893798985523446e-07,0.002678186779496272,-0.2162111062826051,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.3,0.01,1.0,1.0,0.5740591434166612,0.0,0.9117929076572316,1.2412670766236366e-16,0.8422419650092967,1.2412670766236366e-16,1.4555037005309293,0.0,-1.3909727247796155e-06,0.002677385186670045,-0.21621190787543132,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.3,0.01,2.0,1.0,0.574056792033241,0.0,0.9117901954515861,0.0,0.8422389340671081,0.0,1.4555021839041566,0.0,-4.103178370296057e-06,0.0026746729810245284,-0.21621462008107684,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.3,0.01,4.0,1.0,0.574045138135984,0.0,0.9117770922961391,0.0,0.8422243633777846,0.0,1.4554964777190635,0.0,-1.720633381729897e-05,0.0026615698255775255,-0.21622772323652384,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.3,0.03,0.5,1.0,0.574059840494491,0.0,0.9117937254207809,0.0,0.842242888702239,0.0,1.4555042384765133,0.0,-5.732091755694668e-07,0.002678202950219255,-0.2162110901118821,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.3,0.03,1.0,1.0,0.5740591916820109,0.0,0.9117929633331119,1.2412670766236366e-16,0.8422420270949269,0.0,1.4555037317830768,0.0,-1.3352968445401459e-06,0.0026774408625502844,-0.21621185219955108,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.3,0.03,2.0,1.0,0.5740571554427888,0.0,0.9117906077858564,1.2412670766236366e-16,0.8422393763890035,1.2412670766236366e-16,1.455502371261254,0.0,-3.6908441000127468e-06,0.0026750853152948117,-0.21621420774680655,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.3,0.03,4.0,1.0,0.5740502507859837,0.0,0.9117827279909616,1.2412670766236366e-16,0.8422303864781011,1.2412670766236366e-16,1.4554979365212866,0.0,-1.1570638994817806e-05,0.0026672055204000067,-0.21622208754170136,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.3,0.1,0.5,1.0,0.5740598869100902,0.0,0.9117937799593692,1.2412670766236366e-16,0.8422429503511489,0.0,1.455504274840561,0.0,-5.186705872572972e-07,0.002678257488807567,-0.2162110355732938,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.3,0.1,1.0,1.0,0.5740593420324023,0.0,0.911793137251189,1.2412670766236366e-16,0.8422422220211043,0.0,1.455503832124264,0.0,-1.1613787673780962e-06,0.0026776147806274464,-0.21621167828147392,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.3,0.1,2.0,1.0,0.5740579407050057,0.0,0.9117914982352152,0.0,0.8422403561422305,1.2412670766236366e-16,1.4555027766334545,0.0,-2.800394741209189e-06,0.0026759757646536153,-0.21621331729744775,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.3,0.1,4.0,1.0,0.5740546633053574,0.0,0.9117876362200217,1.2412670766236366e-16,0.8422358526519304,0.0,1.4555002137763853,0.0,-6.6624099347434296e-06,0.002672113749460081,-0.21621717931264128,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.3,0.3,0.5,1.0,0.5740600062420242,0.0,0.9117939207822452,1.2412670766236366e-16,0.8422431098022909,1.2412670766236366e-16,1.4555043722174594,0.0,-3.778477112303946e-07,0.002678398311683594,-0.21621089475041777,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.3,0.3,1.0,1.0,0.574059668948082,0.0,0.9117935186861021,1.2412670766236366e-16,0.8422426532557399,0.0,1.4555040710426235,0.0,-7.799438542788195e-07,0.0026779962155405457,-0.21621129684656082,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.3,0.3,2.0,1.0,0.5740590006974708,0.0,0.9117927187546859,0.0,0.8422417389480759,1.2412670766236366e-16,1.455503461042653,0.0,-1.5798752704965224e-06,0.002677196284124328,-0.21621209677797704,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.3,0.3,4.0,1.0,0.574057907192461,0.0,0.9117913818675009,0.0,0.8422402001933321,0.0,1.4555023604959245,0.0,-2.916762455562605e-06,0.002675859396939262,-0.2162134336651621,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.3,0.6,0.5,1.0,0.5740601573059739,0.0,0.9117941003837652,0.0,0.8422433133717601,1.2412670766236366e-16,1.4555045041470096,0.0,-1.982461912408695e-07,0.0026785779132035836,-0.21621071514889778,True,False,True,False,False,True
