generator,seed,method,edge_auc,pair_auc,precision_at_k,shd,lag_accuracy,true_edges,edge_density
switching_var,0,VAR-Lasso (global),0.8278168410221232,0.8375,0.6326530612244898,36.0,0.7777777777777778,49.0,0.2916666666666667
switching_var,0,DynVAR-Lasso (window max),0.8626307665923513,0.8875,0.6938775510204082,30.0,0.8333333333333334,49.0,0.2916666666666667
switching_var,0,STCG-v1/no-state,0.8626307665923513,0.8875,0.6938775510204082,30.0,0.8333333333333334,49.0,0.2916666666666667
switching_var,0,STCG-v1/state-only,0.9037900874635568,0.9305555555555556,0.7346938775510204,26.0,0.8888888888888888,49.0,0.2916666666666667
switching_var,0,STCG-v1/forced-states+contrast,0.9032755959526668,0.9222222222222223,0.7551020408163265,24.0,0.8888888888888888,49.0,0.2916666666666667
switching_var,0,STCG-v1/state+contrast,0.9032755959526668,0.9222222222222223,0.7551020408163265,24.0,0.8888888888888888,49.0,0.2916666666666667
switching_var,1,VAR-Lasso (global),0.7774528914879792,0.8536585365853658,0.6296296296296297,40.0,0.7560975609756098,54.0,0.32142857142857145
switching_var,1,DynVAR-Lasso (window max),0.7691682910981157,0.8390243902439024,0.6111111111111112,42.0,0.7804878048780488,54.0,0.32142857142857145
switching_var,1,STCG-v1/no-state,0.7691682910981157,0.8390243902439024,0.6111111111111112,42.0,0.7804878048780488,54.0,0.32142857142857145
switching_var,1,STCG-v1/state-only,0.7941845354126056,0.8845528455284553,0.6851851851851852,34.0,0.7804878048780488,54.0,0.32142857142857145
switching_var,1,STCG-v1/forced-states+contrast,0.7954840805717999,0.8796747967479674,0.6666666666666666,36.0,0.7560975609756098,54.0,0.32142857142857145
switching_var,1,STCG-v1/state+contrast,0.7954840805717999,0.8796747967479674,0.6666666666666666,36.0,0.7560975609756098,54.0,0.32142857142857145
switching_var,2,VAR-Lasso (global),0.8242705570291777,0.8703125,0.6923076923076923,32.0,0.725,52.0,0.30952380952380953
switching_var,2,DynVAR-Lasso (window max),0.8433355437665783,0.9203125,0.6923076923076923,32.0,0.825,52.0,0.30952380952380953
switching_var,2,STCG-v1/no-state,0.8433355437665783,0.9203125,0.6923076923076923,32.0,0.825,52.0,0.30952380952380953
switching_var,2,STCG-v1/state-only,0.8575928381962865,0.9,0.7692307692307693,24.0,0.85,52.0,0.30952380952380953
switching_var,2,STCG-v1/forced-states+contrast,0.84565649867374,0.896875,0.75,26.0,0.85,52.0,0.30952380952380953
switching_var,2,STCG-v1/state+contrast,0.84565649867374,0.896875,0.75,26.0,0.85,52.0,0.30952380952380953
switching_var,3,VAR-Lasso (global),0.7003217404626935,0.79421768707483,0.5901639344262295,50.0,0.6904761904761905,61.0,0.3630952380952381
switching_var,3,DynVAR-Lasso (window max),0.770185383790409,0.8486394557823129,0.639344262295082,44.0,0.7857142857142857,61.0,0.3630952380952381
switching_var,3,STCG-v1/no-state,0.770185383790409,0.8486394557823129,0.639344262295082,44.0,0.7857142857142857,61.0,0.3630952380952381
switching_var,3,STCG-v1/state-only,0.7884173433430366,0.8860544217687075,0.6721311475409836,40.0,0.7619047619047619,61.0,0.3630952380952381
switching_var,3,STCG-v1/forced-states+contrast,0.7801440171594913,0.8690476190476191,0.6721311475409836,40.0,0.7619047619047619,61.0,0.3630952380952381
switching_var,3,STCG-v1/state+contrast,0.7801440171594913,0.8690476190476191,0.6721311475409836,40.0,0.7619047619047619,61.0,0.3630952380952381
switching_var,4,VAR-Lasso (global),0.8531777956556718,0.8617886178861789,0.7090909090909091,32.0,0.8292682926829268,55.0,0.3273809523809524
switching_var,4,DynVAR-Lasso (window max),0.8344328238133548,0.8845528455284553,0.7090909090909091,32.0,0.8780487804878049,55.0,0.3273809523809524
switching_var,4,STCG-v1/no-state,0.8344328238133548,0.8845528455284553,0.7090909090909091,32.0,0.8780487804878049,55.0,0.3273809523809524
switching_var,4,STCG-v1/state-only,0.8577634754625905,0.8943089430894309,0.7090909090909091,32.0,0.8292682926829268,55.0,0.3273809523809524
switching_var,4,STCG-v1/forced-states+contrast,0.8516492357200321,0.8878048780487805,0.7090909090909091,32.0,0.8536585365853658,55.0,0.3273809523809524
switching_var,4,STCG-v1/state+contrast,0.8516492357200321,0.8878048780487805,0.7090909090909091,32.0,0.8536585365853658,55.0,0.3273809523809524
switching_var,5,VAR-Lasso (global),0.8292042657916325,0.8713450292397661,0.6981132075471698,32.0,0.7894736842105263,53.0,0.31547619047619047
switching_var,5,DynVAR-Lasso (window max),0.8251025430680886,0.881578947368421,0.6792452830188679,34.0,0.7631578947368421,53.0,0.31547619047619047
switching_var,5,STCG-v1/no-state,0.8251025430680886,0.881578947368421,0.6792452830188679,34.0,0.7631578947368421,53.0,0.31547619047619047
switching_var,5,STCG-v1/state-only,0.8528301886792453,0.8757309941520468,0.7169811320754716,30.0,0.7894736842105263,53.0,0.31547619047619047
switching_var,5,STCG-v1/forced-states+contrast,0.8454470877768663,0.8786549707602339,0.6792452830188679,34.0,0.7631578947368421,53.0,0.31547619047619047
switching_var,5,STCG-v1/state+contrast,0.8454470877768663,0.8786549707602339,0.6792452830188679,34.0,0.7631578947368421,53.0,0.31547619047619047
switching_var,6,VAR-Lasso (global),0.7845687811831789,0.7351778656126482,0.6086956521739131,36.0,0.7575757575757576,46.0,0.27380952380952384
switching_var,6,DynVAR-Lasso (window max),0.7908054169636494,0.8168642951251647,0.6739130434782609,30.0,0.8484848484848485,46.0,0.27380952380952384
switching_var,6,STCG-v1/no-state,0.7908054169636494,0.8168642951251647,0.6739130434782609,30.0,0.8484848484848485,46.0,0.27380952380952384
switching_var,6,STCG-v1/state-only,0.7966856735566643,0.7733860342555995,0.6521739130434783,32.0,0.8181818181818182,46.0,0.27380952380952384
