seed,window_id,start,end,center,true_regime,regime_purity,inferred_state,aligned_state,match
0,0,0,300,150.0,0,1.0,0,0,1
0,1,150,450,300.0,0,1.0,0,0,1
0,2,300,600,450.0,0,0.5,1,1,0
0,3,450,750,600.0,1,1.0,1,1,1
0,4,600,900,750.0,1,1.0,1,1,1
0,5,700,1000,850.0,1,1.0,1,1,1
1,0,0,300,150.0,0,1.0,1,0,1
1,1,150,450,300.0,0,1.0,1,0,1
1,2,300,600,450.0,0,0.5,1,0,1
1,3,450,750,600.0,1,1.0,0,1,1
1,4,600,900,750.0,1,1.0,0,1,1
1,5,700,1000,850.0,1,1.0,0,1,1
2,0,0,300,150.0,0,1.0,0,0,1
2,1,150,450,300.0,0,1.0,0,0,1
2,2,300,600,450.0,0,0.5,1,1,0
2,3,450,750,600.0,1,1.0,1,1,1
2,4,600,900,750.0,1,1.0,1,1,1
2,5,700,1000,850.0,1,1.0,1,1,1
3,0,0,300,150.0,0,1.0,1,0,1
3,1,150,450,300.0,0,1.0,1,0,1
3,2,300,600,450.0,0,0.5,1,0,1
3,3,450,750,600.0,1,1.0,1,0,0
3,4,600,900,750.0,1,1.0,0,1,1
3,5,700,1000,850.0,1,1.0,0,1,1
4,0,0,300,150.0,0,1.0,0,0,1
4,1,150,450,300.0,0,1.0,0,0,1
4,2,300,600,450.0,0,0.5,0,0,1
4,3,450,750,600.0,1,1.0,1,1,1
4,4,600,900,750.0,1,1.0,1,1,1
4,5,700,1000,850.0,1,1.0,1,1,1
