generator,seed,method,edge_auc,pair_auc,precision_at_k,shd,lag_accuracy,true_edges,edge_density
var,0,VAR-Lasso,0.9625140291806958,0.9591836734693877,0.8484848484848485,10.0,0.9642857142857143,33.0,0.19642857142857142
var,0,Granger-F,0.9591470258136925,0.9502551020408163,0.8484848484848485,10.0,0.9642857142857143,33.0,0.19642857142857142
var,0,DynVAR-Lasso,0.9032547699214366,0.8979591836734694,0.6363636363636364,24.0,0.8571428571428571,33.0,0.19642857142857142
var,0,DynGranger-F,0.8987654320987655,0.8839285714285714,0.6363636363636364,24.0,0.8928571428571429,33.0,0.19642857142857142
var,0,STCG-v1,0.9207631874298541,0.9477040816326531,0.7575757575757576,16.0,0.8571428571428571,33.0,0.19642857142857142
var,1,VAR-Lasso,0.9163265306122449,0.9036458333333334,0.8214285714285714,10.0,0.875,28.0,0.16666666666666666
var,1,Granger-F,0.9158163265306123,0.9088541666666666,0.8214285714285714,10.0,0.875,28.0,0.16666666666666666
var,1,DynVAR-Lasso,0.861734693877551,0.8450520833333334,0.6071428571428571,22.0,0.875,28.0,0.16666666666666666
var,1,DynGranger-F,0.8571428571428571,0.8450520833333334,0.6428571428571429,20.0,0.875,28.0,0.16666666666666666
var,1,STCG-v1,0.8686224489795918,0.8763020833333334,0.6785714285714286,18.0,0.9166666666666666,28.0,0.16666666666666666
var,2,VAR-Lasso,0.9619190404797601,0.9585561497326203,0.782608695652174,10.0,0.9545454545454546,23.0,0.13690476190476192
var,2,Granger-F,0.9589205397301349,0.9545454545454546,0.782608695652174,10.0,0.9545454545454546,23.0,0.13690476190476192
var,2,DynVAR-Lasso,0.8806596701649175,0.8850267379679144,0.6956521739130435,14.0,0.8636363636363636,23.0,0.13690476190476192
var,2,DynGranger-F,0.8761619190404798,0.8703208556149733,0.6956521739130435,14.0,0.8636363636363636,23.0,0.13690476190476192
var,2,STCG-v1,0.8803598200899551,0.8649732620320856,0.6521739130434783,16.0,0.8181818181818182,23.0,0.13690476190476192
var,3,VAR-Lasso,0.909451748945671,0.8564102564102564,0.6896551724137931,18.0,0.8846153846153846,29.0,0.17261904761904762
var,3,Granger-F,0.9079632845447779,0.8615384615384616,0.7241379310344828,16.0,0.8846153846153846,29.0,0.17261904761904762
var,3,DynVAR-Lasso,0.8032746216819647,0.7884615384615384,0.5862068965517241,24.0,0.6923076923076923,29.0,0.17261904761904762
var,3,DynGranger-F,0.7995534606797321,0.7935897435897435,0.5862068965517241,24.0,0.7307692307692307,29.0,0.17261904761904762
var,3,STCG-v1,0.8203919622922352,0.8641025641025641,0.6206896551724138,22.0,0.7307692307692307,29.0,0.17261904761904762
var,4,VAR-Lasso,0.8686348862405201,0.8776041666666666,0.6923076923076923,16.0,0.8333333333333334,26.0,0.15476190476190477
var,4,Granger-F,0.8586132177681474,0.8645833333333334,0.6538461538461539,18.0,0.8333333333333334,26.0,0.15476190476190477
var,4,DynVAR-Lasso,0.8255687973997833,0.7239583333333334,0.5769230769230769,22.0,0.75,26.0,0.15476190476190477
var,4,DynGranger-F,0.8144637053087758,0.7109375,0.5769230769230769,22.0,0.75,26.0,0.15476190476190477
var,4,STCG-v1,0.8315276273022751,0.7682291666666666,0.5769230769230769,22.0,0.7916666666666666,26.0,0.15476190476190477
var,5,VAR-Lasso,0.9311342592592593,0.8930555555555556,0.7083333333333334,14.0,0.85,24.0,0.14285714285714285
var,5,Granger-F,0.9291087962962963,0.8944444444444445,0.7083333333333334,14.0,0.85,24.0,0.14285714285714285
var,5,DynVAR-Lasso,0.8645833333333334,0.8527777777777777,0.5833333333333334,20.0,0.85,24.0,0.14285714285714285
var,5,DynGranger-F,0.8608217592592593,0.8527777777777777,0.5416666666666666,22.0,0.85,24.0,0.14285714285714285
var,5,STCG-v1,0.8781828703703703,0.8416666666666667,0.625,18.0,0.9,24.0,0.14285714285714285
var,6,VAR-Lasso,0.9163636363636364,0.8870748299319728,0.68,16.0,0.8571428571428571,25.0,0.1488095238095238
var,6,Granger-F,0.9088111888111888,0.8965986394557823,0.68,16.0,0.8571428571428571,25.0,0.1488095238095238
var,6,DynVAR-Lasso,0.8232167832167833,0.782312925170068,0.6,20.0,0.8571428571428571,25.0,0.1488095238095238
var,6,DynGranger-F,0.813986013986014,0.7891156462585034,0.6,20.0,0.8571428571428571,25.0,0.1488095238095238
var,6,STCG-v1,0.8318881118881118,0.8367346938775511,0.6,20.0,0.8095238095238095,25.0,0.1488095238095238
var,7,VAR-Lasso,0.9353383458646617,0.9412515964240102,0.8,14.0,0.9629629629629629,35.0,0.20833333333333334
var,7,Granger-F,0.9269602577873255,0.933588761174968,0.8,14.0,0.9629629629629629,35.0,0.20833333333333334
var,7,DynVAR-Lasso,0.8627282491944146,0.8199233716475096,0.6571428571428571,24.0,0.9629629629629629,35.0,0.20833333333333334
var,7,DynGranger-F,0.8483351235230935,0.80970625798212,0.6571428571428571,24.0,0.9259259259259259,35.0,0.20833333333333334
var,7,STCG-v1,0.881203007518797,0.8301404853128991,0.6571428571428571,24.0,0.8888888888888888,35.0,0.20833333333333334
var,8,VAR-Lasso,0.9047101449275362,0.9427083333333334,0.7333333333333333,16.0,0.7916666666666666,30.0,0.17857142857142858
var,8,Granger-F,0.9016908212560386,0.9440104166666666,0.7333333333333333,16.0,0.7916666666666666,30.0,0.17857142857142858
var,8,DynVAR-Lasso,0.863768115942029,0.9244791666666666,0.7,18.0,0.8333333333333334,30.0,0.17857142857142858
var,8,DynGranger-F,0.8644927536231884,0.9231770833333334,0.7,18.0,0.8333333333333334,30.0,0.17857142857142858
var,8,STCG-v1,0.8514492753623188,0.8736979166666666,0.6333333333333333,22.0,0.8333333333333334,30.0,0.17857142857142858
var,9,VAR-Lasso,0.8697904403108077,0.9011857707509882,0.7096774193548387,18.0,0.8260869565217391,31.0,0.18452380952380953
var,9,Granger-F,0.8622557099128797,0.9011857707509882,0.7096774193548387,18.0,0.8260869565217391,31.0,0.18452380952380953
var,9,DynVAR-Lasso,0.774429008712032,0.8050065876152833,0.5483870967741935,28.0,0.6956521739130435,31.0,0.18452380952380953
var,9,DynGranger-F,0.7699552625382623,0.8102766798418972,0.5806451612903226,26.0,0.6956521739130435,31.0,0.18452380952380953
var,9,STCG-v1,0.7894984695078879,0.8656126482213439,0.6129032258064516,24.0,0.6086956521739131,31.0,0.18452380952380953
var,10,VAR-Lasso,0.9804018853882411,0.9933155080213903,0.8275862068965517,10.0,0.9545454545454546,29.0,0.17261904761904762
var,10,Granger-F,0.9816422723889854,0.9933155080213903,0.8275862068965517,10.0,0.9545454545454546,29.0,0.17261904761904762
var,10,DynVAR-Lasso,0.8920863309352518,0.9264705882352942,0.6206896551724138,22.0,0.9090909090909091,29.0,0.17261904761904762
var,10,DynGranger-F,0.8985363433391218,0.9371657754010695,0.6551724137931034,20.0,0.9090909090909091,29.0,0.17261904761904762
var,10,STCG-v1,0.9198709997519225,0.9786096256684492,0.7586206896551724,14.0,0.9090909090909091,29.0,0.17261904761904762
var,11,VAR-Lasso,0.9395748987854251,0.9433465085638999,0.8157894736842105,14.0,0.9090909090909091,38.0,0.2261904761904762
var,11,Granger-F,0.9382591093117408,0.9420289855072463,0.8157894736842105,14.0,0.9090909090909091,38.0,0.2261904761904762
var,11,DynVAR-Lasso,0.8647773279352227,0.8142292490118577,0.6842105263157895,24.0,0.8181818181818182,38.0,0.2261904761904762
var,11,DynGranger-F,0.8576923076923076,0.8208168642951251,0.6578947368421053,26.0,0.7575757575757576,38.0,0.2261904761904762
var,11,STCG-v1,0.9058704453441295,0.922266139657444,0.7105263157894737,22.0,0.8787878787878788,38.0,0.2261904761904762
var,12,VAR-Lasso,0.9381094257854822,0.9687074829931973,0.8461538461538461,8.0,1.0,26.0,0.15476190476190477
var,12,Granger-F,0.9423076923076923,0.9659863945578231,0.8461538461538461,8.0,1.0,26.0,0.15476190476190477
var,12,DynVAR-Lasso,0.9287648970747562,0.927891156462585,0.8076923076923077,10.0,1.0,26.0,0.15476190476190477
var,12,DynGranger-F,0.9247020585048754,0.9115646258503401,0.7307692307692307,14.0,0.9523809523809523,26.0,0.15476190476190477
var,12,STCG-v1,0.9263271939328277,0.9292517006802721,0.7692307692307693,12.0,0.9523809523809523,26.0,0.15476190476190477
var,13,VAR-Lasso,0.919472568872145,0.9320512820512821,0.7741935483870968,14.0,0.9230769230769231,31.0,0.18452380952380953
var,13,Granger-F,0.9173534259477278,0.9243589743589744,0.7741935483870968,14.0,0.9230769230769231,31.0,0.18452380952380953
var,13,DynVAR-Lasso,0.8794443136331528,0.8871794871794871,0.6774193548387096,20.0,0.8461538461538461,31.0,0.18452380952380953
var,13,DynGranger-F,0.8808570755827643,0.9102564102564102,0.6774193548387096,20.0,0.8461538461538461,31.0,0.18452380952380953
var,13,STCG-v1,0.8712032022604191,0.8589743589743589,0.6774193548387096,20.0,0.8461538461538461,31.0,0.18452380952380953
var,14,VAR-Lasso,0.9130548988705017,0.8893280632411067,0.7037037037037037,16.0,0.8695652173913043,27.0,0.16071428571428573
var,14,Granger-F,0.9059627002889414,0.8840579710144928,0.7037037037037037,16.0,0.8695652173913043,27.0,0.16071428571428573
var,14,DynVAR-Lasso,0.8129760966640399,0.7905138339920948,0.5925925925925926,22.0,0.7391304347826086,27.0,0.16071428571428573
var,14,DynGranger-F,0.803257157867087,0.7720685111989459,0.5555555555555556,24.0,0.7391304347826086,27.0,0.16071428571428573
var,14,STCG-v1,0.8489624376149199,0.8274044795783926,0.5925925925925926,22.0,0.782608695652174,27.0,0.16071428571428573
var,15,VAR-Lasso,0.8987268518518519,0.8157894736842105,0.7083333333333334,14.0,0.8333333333333334,24.0,0.14285714285714285
var,15,Granger-F,0.8940972222222222,0.8099415204678363,0.75,12.0,0.8333333333333334,24.0,0.14285714285714285
var,15,DynVAR-Lasso,0.8958333333333334,0.8538011695906432,0.5833333333333334,20.0,0.8888888888888888,24.0,0.14285714285714285
var,15,DynGranger-F,0.8885995370370371,0.8347953216374269,0.5833333333333334,20.0,0.8888888888888888,24.0,0.14285714285714285
var,15,STCG-v1,0.9033564814814815,0.8201754385964912,0.5833333333333334,20.0,0.9444444444444444,24.0,0.14285714285714285
var,16,VAR-Lasso,0.9144186046511628,0.9231770833333334,0.7674418604651163,20.0,0.875,43.0,0.25595238095238093
var,16,Granger-F,0.9114418604651163,0.9231770833333334,0.7674418604651163,20.0,0.875,43.0,0.25595238095238093
var,16,DynVAR-Lasso,0.878139534883721,0.8450520833333334,0.6976744186046512,26.0,0.875,43.0,0.25595238095238093
var,16,DynGranger-F,0.8803720930232558,0.859375,0.7209302325581395,24.0,0.875,43.0,0.25595238095238093
var,16,STCG-v1,0.8807441860465116,0.8932291666666666,0.7441860465116279,22.0,0.875,43.0,0.25595238095238093
var,17,VAR-Lasso,0.9304214223002634,0.8914431673052363,0.7941176470588235,14.0,0.8620689655172413,34.0,0.20238095238095238
var,17,Granger-F,0.9282265144863916,0.8863346104725415,0.7647058823529411,16.0,0.8620689655172413,34.0,0.20238095238095238
var,17,DynVAR-Lasso,0.8944249341527656,0.8480204342273308,0.6470588235294118,24.0,0.896551724137931,34.0,0.20238095238095238
var,17,DynGranger-F,0.8823529411764706,0.8237547892720306,0.5882352941176471,28.0,0.8620689655172413,34.0,0.20238095238095238
var,17,STCG-v1,0.9018876207199298,0.8978288633461047,0.7058823529411765,20.0,0.896551724137931,34.0,0.20238095238095238
var,18,VAR-Lasso,0.9762185071815399,0.9574193548387097,0.8387096774193549,10.0,1.0,31.0,0.18452380952380953
var,18,Granger-F,0.9766894278314104,0.9612903225806452,0.8387096774193549,10.0,0.96,31.0,0.18452380952380953
var,18,DynVAR-Lasso,0.9333647280433247,0.9290322580645162,0.7419354838709677,16.0,0.92,31.0,0.18452380952380953
var,18,DynGranger-F,0.9324228867435838,0.9329032258064516,0.7741935483870968,14.0,0.88,31.0,0.18452380952380953
var,18,STCG-v1,0.9397221568165764,0.9148387096774193,0.7419354838709677,16.0,0.88,31.0,0.18452380952380953
var,19,VAR-Lasso,0.8843179377013963,0.8914431673052363,0.7714285714285715,16.0,0.7777777777777778,35.0,0.20833333333333334
var,19,Granger-F,0.8824919441460795,0.8952745849297573,0.7714285714285715,16.0,0.7777777777777778,35.0,0.20833333333333334
var,19,DynVAR-Lasso,0.874328678839957,0.8250319284802043,0.6571428571428571,24.0,0.8148148148148148,35.0,0.20833333333333334
var,19,DynGranger-F,0.867454350161117,0.8339719029374202,0.6285714285714286,26.0,0.7777777777777778,35.0,0.20833333333333334
var,19,STCG-v1,0.8775510204081632,0.859514687100894,0.6,28.0,0.7777777777777778,35.0,0.20833333333333334
nonlinear_var,0,VAR-Lasso,0.8390572390572391,0.9732142857142857,0.696969696969697,20.0,0.75,33.0,0.19642857142857142
nonlinear_var,0,Granger-F,0.9079685746352413,0.9821428571428571,0.7575757575757576,16.0,0.7857142857142857,33.0,0.19642857142857142
nonlinear_var,0,DynVAR-Lasso,0.7955106621773288,0.8826530612244898,0.6060606060606061,26.0,0.75,33.0,0.19642857142857142
nonlinear_var,0,DynGranger-F,0.8938271604938272,0.9298469387755102,0.696969696969697,20.0,0.7857142857142857,33.0,0.19642857142857142
nonlinear_var,0,STCG-v1,0.8377104377104377,0.9553571428571429,0.6666666666666666,22.0,0.7857142857142857,33.0,0.19642857142857142
