generator,method,n,edge_auc_mean,edge_auc_std,pair_auc_mean,pair_auc_std,precision_at_k_mean,precision_at_k_std,shd_mean,shd_std,lag_accuracy_mean,lag_accuracy_std
nonlinear_var,DynGranger-F,20,0.9752336093849763,0.027252013437968275,0.9726858201197874,0.025359643318220063,0.8776394259942493,0.0667147855049422,7.6,4.706099066217437,0.9635206216370946,0.04919396013101703
nonlinear_var,DynVAR-Lasso,20,0.9556390912341284,0.0498824529903545,0.9423521041379136,0.046966198832351494,0.8200325248153432,0.09984122814716685,11.3,7.767001724570021,0.9685927812608848,0.05686312769419736
nonlinear_var,Granger-F,20,0.9806457286153574,0.02835160218549702,0.9850617770508603,0.020675564615260943,0.9251036492363713,0.06565922645984085,4.8,4.741751841494427,0.9773929773929775,0.05140698007346483
nonlinear_var,PCMCI-ParCorr,20,0.9835772136850467,0.02264794902799257,0.9845055797793559,0.019297081745772635,0.9241473518179915,0.0640404645001304,4.9,4.83300059350732,0.9709061313048382,0.04803820916671326
nonlinear_var,STCG-v1,20,0.9690631529959095,0.04046103066402425,0.9642973620655788,0.03332463754350497,0.8598820257087167,0.08770735495932432,8.9,7.033004897960533,0.9755394803950839,0.04877152195537926
nonlinear_var,VAR-Lasso,20,0.9784499076854368,0.04120367909159805,0.9796593376851565,0.029131738317196076,0.9122847713103663,0.08799369097892155,5.7,6.530092285960276,0.9823863636363637,0.05698771888670323
switching_var,DynGranger-F,20,0.7966506918116949,0.03913453442117615,0.8298535934931313,0.05530290322267779,0.6499782727091924,0.04413247573510253,38.1,5.928521605008506,0.7908835417084383,0.05208894832599336
switching_var,DynVAR-Lasso,20,0.7981215401291505,0.04046714339425339,0.8296617812582345,0.05822868348922267,0.6456914249249437,0.0465488457214559,38.6,6.361065782927955,0.7969769544734653,0.05836434751696674
switching_var,Granger-F,20,0.7783055532380285,0.04599852125631676,0.8062059378896885,0.050966128020107866,0.6217946253019544,0.050254868691876176,41.2,7.030759485814347,0.7698943876096587,0.06299028445930714
switching_var,PCMCI-ParCorr,20,0.7790441664673841,0.04537417113249337,0.8094192399274368,0.04874773695120824,0.6210322689957108,0.04403432350281613,41.3,6.657801122703628,0.7601413805747497,0.054921437675648783
switching_var,STCG-v1,20,0.8124606203901402,0.04738987254075569,0.8388527358051319,0.057537209787314456,0.6730614910064056,0.058644853398050485,35.5,6.517183763753046,0.8112649957628706,0.06186187917405102
switching_var,VAR-Lasso,20,0.7796054800254605,0.045712913498060476,0.8081863899031102,0.05204041528202781,0.6250966042394864,0.05189986447991404,40.8,6.879412459612644,0.7669897179898728,0.06236080229714208
var,DynGranger-F,20,0.8609962519164023,0.04244292729812475,0.8462777312907737,0.05902033671132929,0.639476637023741,0.06348280172626883,21.5,4.148557136618643,0.838119227987294,0.0715170742639111
var,DynVAR-Lasso,20,0.8658679109469885,0.0407105442462392,0.848608994711212,0.056791046638638876,0.6450450640618878,0.06448952281539128,21.2,4.225237458291234,0.8472495338244963,0.0802114329776363
var,Granger-F,20,0.9203879668923701,0.03337861672364161,0.9147685252930812,0.043133085104900604,0.7660781528479564,0.05750051931845099,13.9,3.33876750029897,0.8882048955403528,0.06270019317811946
var,PCMCI-ParCorr,20,0.9201795685326344,0.034860571699713995,0.9150593141712825,0.04080467165226887,0.7492474988130521,0.0639745379513637,14.9,3.640416401862206,0.8732061324759975,0.06714879015586639
var,STCG-v1,20,0.876469126255914,0.03894227646169933,0.8735628369229461,0.049023980818217794,0.664902009316631,0.06492798582487701,19.9,3.809959248297049,0.8448832575886549,0.08076796249070355
var,VAR-Lasso,20,0.9235450031786401,0.031319865187009535,0.9163348628472864,0.04308675551042978,0.7656643467419596,0.05785840078119732,13.9,3.275105462343722,0.8902048955403528,0.06567807397637128
