generator,seed,method,edge_auc,pair_auc,precision_at_k,shd,lag_accuracy,true_edges,edge_density
var,0,Random,0.5023569023569023,0.5063775510204082,0.15151515151515152,56.0,0.4642857142857143,33.0,0.19642857142857142
var,0,LagCorr,0.9459034792368126,0.9336734693877551,0.7878787878787878,14.0,0.9642857142857143,33.0,0.19642857142857142
var,0,VAR-Ridge,0.9598204264870932,0.9502551020408163,0.8484848484848485,10.0,0.9642857142857143,33.0,0.19642857142857142
var,0,VAR-Lasso,0.9625140291806958,0.9591836734693877,0.8484848484848485,10.0,0.9642857142857143,33.0,0.19642857142857142
var,0,Granger-F,0.9591470258136925,0.9502551020408163,0.8484848484848485,10.0,0.9642857142857143,33.0,0.19642857142857142
var,0,DynVAR-Ridge,0.9019079685746353,0.8928571428571429,0.6666666666666666,22.0,0.8214285714285714,33.0,0.19642857142857142
var,0,DynVAR-Lasso,0.9032547699214366,0.8979591836734694,0.6363636363636364,24.0,0.8571428571428571,33.0,0.19642857142857142
var,0,DynGranger-F,0.8987654320987655,0.8839285714285714,0.6363636363636364,24.0,0.8928571428571429,33.0,0.19642857142857142
var,0,STCG-v0,0.8790123456790123,0.9132653061224489,0.6666666666666666,22.0,0.8214285714285714,33.0,0.19642857142857142
var,0,STCG-v1,0.9207631874298541,0.9477040816326531,0.7575757575757576,16.0,0.8571428571428571,33.0,0.19642857142857142
var,1,Random,0.5298469387755103,0.54296875,0.10714285714285714,50.0,0.4166666666666667,28.0,0.16666666666666666
var,1,LagCorr,0.9119897959183674,0.90234375,0.8214285714285714,10.0,0.9166666666666666,28.0,0.16666666666666666
var,1,VAR-Ridge,0.9137755102040817,0.9036458333333334,0.8214285714285714,10.0,0.875,28.0,0.16666666666666666
var,1,VAR-Lasso,0.9163265306122449,0.9036458333333334,0.8214285714285714,10.0,0.875,28.0,0.16666666666666666
var,1,Granger-F,0.9158163265306123,0.9088541666666666,0.8214285714285714,10.0,0.875,28.0,0.16666666666666666
var,1,DynVAR-Ridge,0.8538265306122449,0.84375,0.6071428571428571,22.0,0.875,28.0,0.16666666666666666
var,1,DynVAR-Lasso,0.861734693877551,0.8450520833333334,0.6071428571428571,22.0,0.875,28.0,0.16666666666666666
var,1,DynGranger-F,0.8571428571428571,0.8450520833333334,0.6428571428571429,20.0,0.875,28.0,0.16666666666666666
