generator,seed,metric,method_a,method_b,value_a,value_b,raw_diff_a_minus_b,improvement
var,0,edge_auc,STCG-v1,DynVAR-Lasso,0.9207631874298541,0.9032547699214366,0.017508417508417473,0.017508417508417473
var,1,edge_auc,STCG-v1,DynVAR-Lasso,0.8686224489795918,0.861734693877551,0.006887755102040871,0.006887755102040871
var,2,edge_auc,STCG-v1,DynVAR-Lasso,0.8803598200899551,0.8806596701649175,-0.00029985007496247107,-0.00029985007496247107
var,3,edge_auc,STCG-v1,DynVAR-Lasso,0.8203919622922352,0.8032746216819647,0.01711734061027048,0.01711734061027048
var,4,edge_auc,STCG-v1,DynVAR-Lasso,0.8315276273022751,0.8255687973997833,0.005958829902491858,0.005958829902491858
var,5,edge_auc,STCG-v1,DynVAR-Lasso,0.8781828703703703,0.8645833333333334,0.01359953703703698,0.01359953703703698
var,6,edge_auc,STCG-v1,DynVAR-Lasso,0.8318881118881118,0.8232167832167833,0.008671328671328582,0.008671328671328582
var,7,edge_auc,STCG-v1,DynVAR-Lasso,0.881203007518797,0.8627282491944146,0.01847475832438239,0.01847475832438239
var,8,edge_auc,STCG-v1,DynVAR-Lasso,0.8514492753623188,0.863768115942029,-0.01231884057971011,-0.01231884057971011
var,9,edge_auc,STCG-v1,DynVAR-Lasso,0.7894984695078879,0.774429008712032,0.015069460795855916,0.015069460795855916
var,10,edge_auc,STCG-v1,DynVAR-Lasso,0.9198709997519225,0.8920863309352518,0.027784668816670743,0.027784668816670743
var,11,edge_auc,STCG-v1,DynVAR-Lasso,0.9058704453441295,0.8647773279352227,0.041093117408906865,0.041093117408906865
var,12,edge_auc,STCG-v1,DynVAR-Lasso,0.9263271939328277,0.9287648970747562,-0.0024377031419284823,-0.0024377031419284823
var,13,edge_auc,STCG-v1,DynVAR-Lasso,0.8712032022604191,0.8794443136331528,-0.008241111372733645,-0.008241111372733645
var,14,edge_auc,STCG-v1,DynVAR-Lasso,0.8489624376149199,0.8129760966640399,0.035986340950879936,0.035986340950879936
var,15,edge_auc,STCG-v1,DynVAR-Lasso,0.9033564814814815,0.8958333333333334,0.00752314814814814,0.00752314814814814
var,16,edge_auc,STCG-v1,DynVAR-Lasso,0.8807441860465116,0.878139534883721,0.0026046511627906277,0.0026046511627906277
var,17,edge_auc,STCG-v1,DynVAR-Lasso,0.9018876207199298,0.8944249341527656,0.007462686567164201,0.007462686567164201
var,18,edge_auc,STCG-v1,DynVAR-Lasso,0.9397221568165764,0.9333647280433247,0.006357428773251739,0.006357428773251739
var,19,edge_auc,STCG-v1,DynVAR-Lasso,0.8775510204081632,0.874328678839957,0.0032223415682062218,0.0032223415682062218
var,0,pair_auc,STCG-v1,DynVAR-Lasso,0.9477040816326531,0.8979591836734694,0.04974489795918369,0.04974489795918369
var,1,pair_auc,STCG-v1,DynVAR-Lasso,0.8763020833333334,0.8450520833333334,0.03125,0.03125
var,2,pair_auc,STCG-v1,DynVAR-Lasso,0.8649732620320856,0.8850267379679144,-0.020053475935828846,-0.020053475935828846
var,3,pair_auc,STCG-v1,DynVAR-Lasso,0.8641025641025641,0.7884615384615384,0.0756410256410257,0.0756410256410257
var,4,pair_auc,STCG-v1,DynVAR-Lasso,0.7682291666666666,0.7239583333333334,0.04427083333333326,0.04427083333333326
var,5,pair_auc,STCG-v1,DynVAR-Lasso,0.8416666666666667,0.8527777777777777,-0.011111111111111072,-0.011111111111111072
var,6,pair_auc,STCG-v1,DynVAR-Lasso,0.8367346938775511,0.782312925170068,0.054421768707483054,0.054421768707483054
var,7,pair_auc,STCG-v1,DynVAR-Lasso,0.8301404853128991,0.8199233716475096,0.010217113665389466,0.010217113665389466
var,8,pair_auc,STCG-v1,DynVAR-Lasso,0.8736979166666666,0.9244791666666666,-0.05078125,-0.05078125
var,9,pair_auc,STCG-v1,DynVAR-Lasso,0.8656126482213439,0.8050065876152833,0.06060606060606055,0.06060606060606055
var,10,pair_auc,STCG-v1,DynVAR-Lasso,0.9786096256684492,0.9264705882352942,0.05213903743315507,0.05213903743315507
var,11,pair_auc,STCG-v1,DynVAR-Lasso,0.922266139657444,0.8142292490118577,0.1080368906455863,0.1080368906455863
var,12,pair_auc,STCG-v1,DynVAR-Lasso,0.9292517006802721,0.927891156462585,0.0013605442176870541,0.0013605442176870541
var,13,pair_auc,STCG-v1,DynVAR-Lasso,0.8589743589743589,0.8871794871794871,-0.028205128205128216,-0.028205128205128216
var,14,pair_auc,STCG-v1,DynVAR-Lasso,0.8274044795783926,0.7905138339920948,0.03689064558629773,0.03689064558629773
var,15,pair_auc,STCG-v1,DynVAR-Lasso,0.8201754385964912,0.8538011695906432,-0.033625730994152,-0.033625730994152
var,16,pair_auc,STCG-v1,DynVAR-Lasso,0.8932291666666666,0.8450520833333334,0.04817708333333326,0.04817708333333326
var,17,pair_auc,STCG-v1,DynVAR-Lasso,0.8978288633461047,0.8480204342273308,0.04980842911877392,0.04980842911877392
var,18,pair_auc,STCG-v1,DynVAR-Lasso,0.9148387096774193,0.9290322580645162,-0.014193548387096855,-0.014193548387096855
var,19,pair_auc,STCG-v1,DynVAR-Lasso,0.859514687100894,0.8250319284802043,0.03448275862068961,0.03448275862068961
var,0,precision_at_k,STCG-v1,DynVAR-Lasso,0.7575757575757576,0.6363636363636364,0.12121212121212122,0.12121212121212122
var,1,precision_at_k,STCG-v1,DynVAR-Lasso,0.6785714285714286,0.6071428571428571,0.07142857142857151,0.07142857142857151
var,2,precision_at_k,STCG-v1,DynVAR-Lasso,0.6521739130434783,0.6956521739130435,-0.04347826086956519,-0.04347826086956519
var,3,precision_at_k,STCG-v1,DynVAR-Lasso,0.6206896551724138,0.5862068965517241,0.034482758620689724,0.034482758620689724
var,4,precision_at_k,STCG-v1,DynVAR-Lasso,0.5769230769230769,0.5769230769230769,0.0,0.0
var,5,precision_at_k,STCG-v1,DynVAR-Lasso,0.625,0.5833333333333334,0.04166666666666663,0.04166666666666663
var,6,precision_at_k,STCG-v1,DynVAR-Lasso,0.6,0.6,0.0,0.0
var,7,precision_at_k,STCG-v1,DynVAR-Lasso,0.6571428571428571,0.6571428571428571,0.0,0.0
var,8,precision_at_k,STCG-v1,DynVAR-Lasso,0.6333333333333333,0.7,-0.06666666666666665,-0.06666666666666665
var,9,precision_at_k,STCG-v1,DynVAR-Lasso,0.6129032258064516,0.5483870967741935,0.06451612903225812,0.06451612903225812
var,10,precision_at_k,STCG-v1,DynVAR-Lasso,0.7586206896551724,0.6206896551724138,0.13793103448275856,0.13793103448275856
var,11,precision_at_k,STCG-v1,DynVAR-Lasso,0.7105263157894737,0.6842105263157895,0.02631578947368418,0.02631578947368418
var,12,precision_at_k,STCG-v1,DynVAR-Lasso,0.7692307692307693,0.8076923076923077,-0.038461538461538436,-0.038461538461538436
var,13,precision_at_k,STCG-v1,DynVAR-Lasso,0.6774193548387096,0.6774193548387096,0.0,0.0
var,14,precision_at_k,STCG-v1,DynVAR-Lasso,0.5925925925925926,0.5925925925925926,0.0,0.0
var,15,precision_at_k,STCG-v1,DynVAR-Lasso,0.5833333333333334,0.5833333333333334,0.0,0.0
var,16,precision_at_k,STCG-v1,DynVAR-Lasso,0.7441860465116279,0.6976744186046512,0.046511627906976716,0.046511627906976716
var,17,precision_at_k,STCG-v1,DynVAR-Lasso,0.7058823529411765,0.6470588235294118,0.05882352941176472,0.05882352941176472
