generator,metric,method_a,method_b,n,mean_a,mean_b,mean_raw_diff_a_minus_b,mean_improvement,std_improvement,bootstrap_ci_low,bootstrap_ci_high,paired_t_greater_p,wilcoxon_greater_p,cohen_dz,wins,ties,losses
var,edge_auc,STCG-v1,DynVAR-Lasso,20,0.876469126255914,0.8658679109469885,0.010601215308925415,0.010601215308925415,0.013405715950516114,0.0050908995286981515,0.01642250177618414,0.0011022775362736785,0.0008449554443359375,0.7907981452133688,16,0,4
var,pair_auc,STCG-v1,DynVAR-Lasso,20,0.8735628369229461,0.848608994711212,0.024953842211734086,0.024953842211734086,0.041291083645111,0.007248428614960363,0.0426527772894304,0.007053593548281609,0.007656097412109375,0.6043397268574399,14,0,6
var,precision_at_k,STCG-v1,DynVAR-Lasso,20,0.664902009316631,0.6450450640618878,0.019856945254743196,0.019856945254743196,0.05400603581017431,-0.002382204171435705,0.04351473829366317,0.05827776658893901,0.07597809287170526,0.36768011124790434,9,7,4
var,shd,STCG-v1,DynVAR-Lasso,20,19.9,21.2,-1.3,1.3,3.3261325732352947,-0.1,2.8,0.04831074988606059,0.05479753887268295,0.39084431283973253,9,7,4
var,lag_accuracy,STCG-v1,DynVAR-Lasso,20,0.8448832575886549,0.8472495338244963,-0.0023662762358414467,-0.0023662762358414467,0.04507935151790968,-0.021641566796729822,0.01606089767720202,0.5915423775708074,0.5623696455265748,-0.05249135482575306,7,6,7
nonlinear_var,edge_auc,STCG-v1,DynVAR-Lasso,20,0.9690631529959095,0.9556390912341284,0.013424061761781226,0.013424061761781226,0.010864350389216031,0.009181444969741812,0.018294712017275776,1.2454162414613334e-05,9.5367431640625e-07,1.2356064818294124,20,0,0
nonlinear_var,pair_auc,STCG-v1,DynVAR-Lasso,20,0.9642973620655788,0.9423521041379136,0.02194525792766521,0.02194525792766521,0.020484314307042888,0.013847491282586834,0.03115015916041136,6.34934288399415e-05,7.754788639788509e-05,1.0713201134645753,18,1,1
nonlinear_var,precision_at_k,STCG-v1,DynVAR-Lasso,20,0.8598820257087167,0.8200325248153432,0.03984950089337355,0.03984950089337355,0.0364942939644441,0.02499846679584335,0.05629328919352149,5.1613843755411434e-05,0.0004907698762608342,1.0919378501252384,14,6,0
nonlinear_var,shd,STCG-v1,DynVAR-Lasso,20,8.9,11.3,-2.4,2.4,2.112618729145617,1.5,3.3,3.3221093980729224e-05,0.00037282963902473496,1.1360308260500016,14,6,0
nonlinear_var,lag_accuracy,STCG-v1,DynVAR-Lasso,20,0.9755394803950839,0.9685927812608848,0.00694669913419913,0.00694669913419913,0.014402713347285517,0.0015151515151515138,0.013691152597402584,0.02201222153478574,0.033944577430914495,0.48231878026707903,4,16,0
switching_var,edge_auc,STCG-v1,DynVAR-Lasso,20,0.8124606203901402,0.7981215401291505,0.014339080260989883,0.014339080260989883,0.01728212143143449,0.006697992475102913,0.021301718972917133,0.0007418005796835678,0.0013561248779296875,0.8297060241058426,17,0,3
switching_var,pair_auc,STCG-v1,DynVAR-Lasso,20,0.8388527358051319,0.8296617812582345,0.009190954546897268,0.009190954546897268,0.04169714049557718,-0.008140608789032052,0.02719768125429941,0.16832026136888867,0.20454883575439453,0.220421698890171,11,0,9
switching_var,precision_at_k,STCG-v1,DynVAR-Lasso,20,0.6730614910064056,0.6456914249249437,0.027370066081461808,0.027370066081461808,0.02961948922779976,0.015018397636869614,0.04033975134421352,0.00028306785222937525,0.0012412408095430988,0.9240559778381753,14,4,2
switching_var,shd,STCG-v1,DynVAR-Lasso,20,35.5,38.6,-3.1,3.1,3.33876750029897,1.7,4.6,0.0002705510568614382,0.0007244794459276436,0.9284863350689769,14,4,2
switching_var,lag_accuracy,STCG-v1,DynVAR-Lasso,20,0.8112649957628706,0.7969769544734653,0.014288041289405206,0.014288041289405206,0.04932799644725412,-0.005481666030446518,0.036632901326137834,0.10535533888477007,0.1896182310578181,0.2896537933520825,9,6,5
