generator,seed,metric,method_a,method_b,value_a,value_b,raw_diff_a_minus_b,improvement
var,0,edge_auc,STCG-v1,DynGranger-F,0.9207631874298541,0.8987654320987655,0.02199775533108861,0.02199775533108861
var,1,edge_auc,STCG-v1,DynGranger-F,0.8686224489795918,0.8571428571428571,0.011479591836734748,0.011479591836734748
var,2,edge_auc,STCG-v1,DynGranger-F,0.8803598200899551,0.8761619190404798,0.004197901049475261,0.004197901049475261
var,3,edge_auc,STCG-v1,DynGranger-F,0.8203919622922352,0.7995534606797321,0.020838501612503113,0.020838501612503113
var,4,edge_auc,STCG-v1,DynGranger-F,0.8315276273022751,0.8144637053087758,0.017063921993499376,0.017063921993499376
var,5,edge_auc,STCG-v1,DynGranger-F,0.8781828703703703,0.8608217592592593,0.01736111111111105,0.01736111111111105
var,6,edge_auc,STCG-v1,DynGranger-F,0.8318881118881118,0.813986013986014,0.017902097902097847,0.017902097902097847
var,7,edge_auc,STCG-v1,DynGranger-F,0.881203007518797,0.8483351235230935,0.032867883995703506,0.032867883995703506
var,8,edge_auc,STCG-v1,DynGranger-F,0.8514492753623188,0.8644927536231884,-0.013043478260869601,-0.013043478260869601
var,9,edge_auc,STCG-v1,DynGranger-F,0.7894984695078879,0.7699552625382623,0.019543206969625637,0.019543206969625637
var,10,edge_auc,STCG-v1,DynGranger-F,0.9198709997519225,0.8985363433391218,0.021334656412800745,0.021334656412800745
var,11,edge_auc,STCG-v1,DynGranger-F,0.9058704453441295,0.8576923076923076,0.048178137651821884,0.048178137651821884
var,12,edge_auc,STCG-v1,DynGranger-F,0.9263271939328277,0.9247020585048754,0.0016251354279522845,0.0016251354279522845
var,13,edge_auc,STCG-v1,DynGranger-F,0.8712032022604191,0.8808570755827643,-0.00965387332234513,-0.00965387332234513
var,14,edge_auc,STCG-v1,DynGranger-F,0.8489624376149199,0.803257157867087,0.045705279747832894,0.045705279747832894
var,15,edge_auc,STCG-v1,DynGranger-F,0.9033564814814815,0.8885995370370371,0.01475694444444442,0.01475694444444442
var,16,edge_auc,STCG-v1,DynGranger-F,0.8807441860465116,0.8803720930232558,0.00037209302325580396,0.00037209302325580396
var,17,edge_auc,STCG-v1,DynGranger-F,0.9018876207199298,0.8823529411764706,0.01953467954345922,0.01953467954345922
var,18,edge_auc,STCG-v1,DynGranger-F,0.9397221568165764,0.9324228867435838,0.007299270072992692,0.007299270072992692
var,19,edge_auc,STCG-v1,DynGranger-F,0.8775510204081632,0.867454350161117,0.010096670247046191,0.010096670247046191
var,0,pair_auc,STCG-v1,DynGranger-F,0.9477040816326531,0.8839285714285714,0.06377551020408168,0.06377551020408168
var,1,pair_auc,STCG-v1,DynGranger-F,0.8763020833333334,0.8450520833333334,0.03125,0.03125
var,2,pair_auc,STCG-v1,DynGranger-F,0.8649732620320856,0.8703208556149733,-0.005347593582887722,-0.005347593582887722
var,3,pair_auc,STCG-v1,DynGranger-F,0.8641025641025641,0.7935897435897435,0.0705128205128206,0.0705128205128206
var,4,pair_auc,STCG-v1,DynGranger-F,0.7682291666666666,0.7109375,0.05729166666666663,0.05729166666666663
var,5,pair_auc,STCG-v1,DynGranger-F,0.8416666666666667,0.8527777777777777,-0.011111111111111072,-0.011111111111111072
var,6,pair_auc,STCG-v1,DynGranger-F,0.8367346938775511,0.7891156462585034,0.04761904761904767,0.04761904761904767
var,7,pair_auc,STCG-v1,DynGranger-F,0.8301404853128991,0.80970625798212,0.020434227330779042,0.020434227330779042
var,8,pair_auc,STCG-v1,DynGranger-F,0.8736979166666666,0.9231770833333334,-0.04947916666666674,-0.04947916666666674
var,9,pair_auc,STCG-v1,DynGranger-F,0.8656126482213439,0.8102766798418972,0.055335968379446654,0.055335968379446654
var,10,pair_auc,STCG-v1,DynGranger-F,0.9786096256684492,0.9371657754010695,0.041443850267379734,0.041443850267379734
var,11,pair_auc,STCG-v1,DynGranger-F,0.922266139657444,0.8208168642951251,0.10144927536231885,0.10144927536231885
var,12,pair_auc,STCG-v1,DynGranger-F,0.9292517006802721,0.9115646258503401,0.017687074829931926,0.017687074829931926
var,13,pair_auc,STCG-v1,DynGranger-F,0.8589743589743589,0.9102564102564102,-0.05128205128205132,-0.05128205128205132
var,14,pair_auc,STCG-v1,DynGranger-F,0.8274044795783926,0.7720685111989459,0.055335968379446654,0.055335968379446654
var,15,pair_auc,STCG-v1,DynGranger-F,0.8201754385964912,0.8347953216374269,-0.014619883040935644,-0.014619883040935644
var,16,pair_auc,STCG-v1,DynGranger-F,0.8932291666666666,0.859375,0.03385416666666663,0.03385416666666663
var,17,pair_auc,STCG-v1,DynGranger-F,0.8978288633461047,0.8237547892720306,0.07407407407407407,0.07407407407407407
var,18,pair_auc,STCG-v1,DynGranger-F,0.9148387096774193,0.9329032258064516,-0.01806451612903226,-0.01806451612903226
var,19,pair_auc,STCG-v1,DynGranger-F,0.859514687100894,0.8339719029374202,0.025542784163473775,0.025542784163473775
var,0,precision_at_k,STCG-v1,DynGranger-F,0.7575757575757576,0.6363636363636364,0.12121212121212122,0.12121212121212122
var,1,precision_at_k,STCG-v1,DynGranger-F,0.6785714285714286,0.6428571428571429,0.0357142857142857,0.0357142857142857
