generator,metric,method_a,method_b,n,mean_a,mean_b,mean_raw_diff_a_minus_b,mean_improvement,std_improvement,bootstrap_ci_low,bootstrap_ci_high,paired_t_greater_p,wilcoxon_greater_p,cohen_dz,wins,ties,losses
var,edge_auc,STCG-v1,DynGranger-F,20,0.876469126255914,0.8609962519164023,0.015472874339511528,0.015472874339511528,0.01545899818673823,0.008944478856323896,0.02215131984486479,0.00012941175726436348,8.392333984375e-05,1.0008976100912672,18,0,2
var,pair_auc,STCG-v1,DynGranger-F,20,0.8735628369229461,0.8462777312907737,0.027285105632172457,0.027285105632172457,0.041419577846433325,0.009119658764414855,0.044601687351846324,0.004147233862049888,0.004994951227743904,0.6587490035107154,14,0,6
var,precision_at_k,STCG-v1,DynGranger-F,20,0.664902009316631,0.639476637023741,0.025425372292890012,0.025425372292890012,0.05186471387317355,0.00378386368434815,0.04753264582678176,0.020504076129770232,0.025005873301244503,0.4902248637689103,11,5,4
var,shd,STCG-v1,DynGranger-F,20,19.9,21.5,-1.6,1.6,3.2183683345512373,0.3,3.0,0.01926198503431553,0.023758829366845403,0.4971463281014107,11,5,4
var,lag_accuracy,STCG-v1,DynGranger-F,20,0.8448832575886549,0.838119227987294,0.006764029601360943,0.006764029601360943,0.04614495272256099,-0.012698861495478801,0.026453094678310182,0.2599911412908057,0.26506317680181035,0.14658221977230249,7,8,5
nonlinear_var,edge_auc,STCG-v1,DynGranger-F,20,0.9690631529959095,0.9752336093849763,-0.006170456389066719,-0.006170456389066719,0.021949060818077785,-0.016176673421517435,0.001917202940397113,0.8880480210085556,0.7391633987426758,-0.2811262149305532,9,0,11
nonlinear_var,pair_auc,STCG-v1,DynGranger-F,20,0.9642973620655788,0.9726858201197874,-0.008388458054208726,-0.008388458054208726,0.020877790998889912,-0.018066228541251547,-6.825175029832639e-05,0.9558625654683632,0.9633500122710613,-0.40178858264529743,6,1,13
nonlinear_var,precision_at_k,STCG-v1,DynGranger-F,20,0.8598820257087167,0.8776394259942493,-0.017757400285532438,-0.017757400285532438,0.0563781799324269,-0.04413116486396698,0.004799006717779372,0.9124438729328364,0.882878609618964,-0.31496937834488264,6,4,10
nonlinear_var,shd,STCG-v1,DynGranger-F,20,8.9,7.6,1.3,-1.3,4.168806468093842,-3.3,0.2,0.910383733105023,0.9063415399923525,-0.3118398539125315,6,4,10
nonlinear_var,lag_accuracy,STCG-v1,DynGranger-F,20,0.9755394803950839,0.9635206216370946,0.012018858757989198,0.012018858757989198,0.02374121084026982,0.003367003367003368,0.023058197840806545,0.017734272652885165,0.021557223391537678,0.5062445567267706,5,15,0
switching_var,edge_auc,STCG-v1,DynGranger-F,20,0.8124606203901402,0.7966506918116949,0.015809928578445504,0.015809928578445504,0.017717407225178037,0.007983931107678153,0.023003218214612393,0.0003913573066685839,0.0007162094116210938,0.8923387252722942,17,0,3
switching_var,pair_auc,STCG-v1,DynGranger-F,20,0.8388527358051319,0.8298535934931313,0.00899914231200053,0.00899914231200053,0.04570114785761125,-0.009921644713197965,0.028839154780103588,0.19476330185651486,0.22618770599365234,0.19691282897398335,11,0,9
switching_var,precision_at_k,STCG-v1,DynGranger-F,20,0.6730614910064056,0.6499782727091924,0.02308321829721308,0.02308321829721308,0.029275209662682027,0.011033479550867005,0.03563305945436859,0.0011284230223030593,0.002601078459063882,0.788490281134961,13,6,1
switching_var,shd,STCG-v1,DynGranger-F,20,35.5,38.1,-2.6,2.6,3.250910803548996,1.3,4.0,0.001006144462554546,0.002368981477587281,0.7997758650165359,13,6,1
switching_var,lag_accuracy,STCG-v1,DynGranger-F,20,0.8112649957628706,0.7908835417084383,0.020381454054432223,0.020381454054432223,0.043437229898405864,0.0024954450324315407,0.03948561730577935,0.024735501437637978,0.06087065781250811,0.4692162484141333,12,2,6
