generator,seed,metric,method_a,method_b,value_a,value_b,raw_diff_a_minus_b,improvement
var,0,edge_auc,STCG-v1,PCMCI-ParCorr,0.9207631874298541,0.9463524130190797,-0.025589225589225606,-0.025589225589225606
var,1,edge_auc,STCG-v1,PCMCI-ParCorr,0.8686224489795918,0.9186224489795919,-0.050000000000000044,-0.050000000000000044
var,2,edge_auc,STCG-v1,PCMCI-ParCorr,0.8803598200899551,0.9649175412293853,-0.08455772113943028,-0.08455772113943028
var,3,edge_auc,STCG-v1,PCMCI-ParCorr,0.8203919622922352,0.9020094269412057,-0.08161746464897046,-0.08161746464897046
var,4,edge_auc,STCG-v1,PCMCI-ParCorr,0.8315276273022751,0.8594257854821236,-0.02789815817984842,-0.02789815817984842
var,5,edge_auc,STCG-v1,PCMCI-ParCorr,0.8781828703703703,0.9447337962962963,-0.06655092592592593,-0.06655092592592593
var,6,edge_auc,STCG-v1,PCMCI-ParCorr,0.8318881118881118,0.9130069930069931,-0.08111888111888121,-0.08111888111888121
var,7,edge_auc,STCG-v1,PCMCI-ParCorr,0.881203007518797,0.9465091299677766,-0.0653061224489796,-0.0653061224489796
var,8,edge_auc,STCG-v1,PCMCI-ParCorr,0.8514492753623188,0.9135265700483092,-0.062077294685990325,-0.062077294685990325
var,9,edge_auc,STCG-v1,PCMCI-ParCorr,0.7894984695078879,0.8424770426183188,-0.05297857311043086,-0.05297857311043086
var,10,edge_auc,STCG-v1,PCMCI-ParCorr,0.9198709997519225,0.9694864797816919,-0.04961548002976934,-0.04961548002976934
var,11,edge_auc,STCG-v1,PCMCI-ParCorr,0.9058704453441295,0.9374493927125506,-0.03157894736842104,-0.03157894736842104
var,12,edge_auc,STCG-v1,PCMCI-ParCorr,0.9263271939328277,0.9206392199349945,0.005687973997833162,0.005687973997833162
var,13,edge_auc,STCG-v1,PCMCI-ParCorr,0.8712032022604191,0.9343065693430657,-0.06310336708264652,-0.06310336708264652
var,14,edge_auc,STCG-v1,PCMCI-ParCorr,0.8489624376149199,0.8957184134489099,-0.04675597583399005,-0.04675597583399005
var,15,edge_auc,STCG-v1,PCMCI-ParCorr,0.9033564814814815,0.8871527777777778,0.01620370370370372,0.01620370370370372
var,16,edge_auc,STCG-v1,PCMCI-ParCorr,0.8807441860465116,0.932093023255814,-0.05134883720930239,-0.05134883720930239
var,17,edge_auc,STCG-v1,PCMCI-ParCorr,0.9018876207199298,0.9334942932396839,-0.03160667251975413,-0.03160667251975413
var,18,edge_auc,STCG-v1,PCMCI-ParCorr,0.9397221568165764,0.9656227925594537,-0.025900635742877265,-0.025900635742877265
var,19,edge_auc,STCG-v1,PCMCI-ParCorr,0.8775510204081632,0.876047261009667,0.0015037593984962294,0.0015037593984962294
var,0,pair_auc,STCG-v1,PCMCI-ParCorr,0.9477040816326531,0.9502551020408163,-0.0025510204081632404,-0.0025510204081632404
var,1,pair_auc,STCG-v1,PCMCI-ParCorr,0.8763020833333334,0.9127604166666666,-0.03645833333333326,-0.03645833333333326
var,2,pair_auc,STCG-v1,PCMCI-ParCorr,0.8649732620320856,0.9719251336898396,-0.106951871657754,-0.106951871657754
var,3,pair_auc,STCG-v1,PCMCI-ParCorr,0.8641025641025641,0.8666666666666667,-0.002564102564102555,-0.002564102564102555
var,4,pair_auc,STCG-v1,PCMCI-ParCorr,0.7682291666666666,0.8802083333333334,-0.11197916666666674,-0.11197916666666674
var,5,pair_auc,STCG-v1,PCMCI-ParCorr,0.8416666666666667,0.9069444444444444,-0.06527777777777777,-0.06527777777777777
var,6,pair_auc,STCG-v1,PCMCI-ParCorr,0.8367346938775511,0.8979591836734694,-0.061224489795918324,-0.061224489795918324
var,7,pair_auc,STCG-v1,PCMCI-ParCorr,0.8301404853128991,0.9450830140485313,-0.11494252873563227,-0.11494252873563227
var,8,pair_auc,STCG-v1,PCMCI-ParCorr,0.8736979166666666,0.9244791666666666,-0.05078125,-0.05078125
var,9,pair_auc,STCG-v1,PCMCI-ParCorr,0.8656126482213439,0.8919631093544137,-0.026350461133069825,-0.026350461133069825
var,10,pair_auc,STCG-v1,PCMCI-ParCorr,0.9786096256684492,0.982620320855615,-0.004010695187165791,-0.004010695187165791
var,11,pair_auc,STCG-v1,PCMCI-ParCorr,0.922266139657444,0.9433465085638999,-0.021080368906455926,-0.021080368906455926
var,12,pair_auc,STCG-v1,PCMCI-ParCorr,0.9292517006802721,0.9306122448979591,-0.0013605442176870541,-0.0013605442176870541
var,13,pair_auc,STCG-v1,PCMCI-ParCorr,0.8589743589743589,0.9346153846153846,-0.0756410256410257,-0.0756410256410257
var,14,pair_auc,STCG-v1,PCMCI-ParCorr,0.8274044795783926,0.8695652173913043,-0.04216073781291174,-0.04216073781291174
var,15,pair_auc,STCG-v1,PCMCI-ParCorr,0.8201754385964912,0.8245614035087719,-0.004385964912280715,-0.004385964912280715
var,16,pair_auc,STCG-v1,PCMCI-ParCorr,0.8932291666666666,0.9322916666666666,-0.0390625,-0.0390625
var,17,pair_auc,STCG-v1,PCMCI-ParCorr,0.8978288633461047,0.8825031928480205,0.015325670498084198,0.015325670498084198
var,18,pair_auc,STCG-v1,PCMCI-ParCorr,0.9148387096774193,0.9703225806451613,-0.05548387096774199,-0.05548387096774199
var,19,pair_auc,STCG-v1,PCMCI-ParCorr,0.859514687100894,0.8825031928480205,-0.02298850574712652,-0.02298850574712652
var,0,precision_at_k,STCG-v1,PCMCI-ParCorr,0.7575757575757576,0.7272727272727273,0.030303030303030276,0.030303030303030276
var,1,precision_at_k,STCG-v1,PCMCI-ParCorr,0.6785714285714286,0.8571428571428571,-0.1785714285714285,-0.1785714285714285
var,2,precision_at_k,STCG-v1,PCMCI-ParCorr,0.6521739130434783,0.8260869565217391,-0.17391304347826086,-0.17391304347826086
var,3,precision_at_k,STCG-v1,PCMCI-ParCorr,0.6206896551724138,0.6896551724137931,-0.06896551724137934,-0.06896551724137934
var,4,precision_at_k,STCG-v1,PCMCI-ParCorr,0.5769230769230769,0.6923076923076923,-0.11538461538461542,-0.11538461538461542
var,5,precision_at_k,STCG-v1,PCMCI-ParCorr,0.625,0.6666666666666666,-0.04166666666666663,-0.04166666666666663
var,6,precision_at_k,STCG-v1,PCMCI-ParCorr,0.6,0.68,-0.08000000000000007,-0.08000000000000007
var,7,precision_at_k,STCG-v1,PCMCI-ParCorr,0.6571428571428571,0.7714285714285715,-0.11428571428571432,-0.11428571428571432
var,8,precision_at_k,STCG-v1,PCMCI-ParCorr,0.6333333333333333,0.7333333333333333,-0.09999999999999998,-0.09999999999999998
var,9,precision_at_k,STCG-v1,PCMCI-ParCorr,0.6129032258064516,0.7096774193548387,-0.09677419354838712,-0.09677419354838712
var,10,precision_at_k,STCG-v1,PCMCI-ParCorr,0.7586206896551724,0.8275862068965517,-0.06896551724137934,-0.06896551724137934
var,11,precision_at_k,STCG-v1,PCMCI-ParCorr,0.7105263157894737,0.8157894736842105,-0.10526315789473684,-0.10526315789473684
var,12,precision_at_k,STCG-v1,PCMCI-ParCorr,0.7692307692307693,0.7692307692307693,0.0,0.0
var,13,precision_at_k,STCG-v1,PCMCI-ParCorr,0.6774193548387096,0.8064516129032258,-0.12903225806451613,-0.12903225806451613
var,14,precision_at_k,STCG-v1,PCMCI-ParCorr,0.5925925925925926,0.6666666666666666,-0.07407407407407407,-0.07407407407407407
