generator,metric,method_a,method_b,n,mean_a,mean_b,mean_raw_diff_a_minus_b,mean_improvement,std_improvement,bootstrap_ci_low,bootstrap_ci_high,paired_t_greater_p,wilcoxon_greater_p,cohen_dz,wins,ties,losses
var,edge_auc,STCG-v1,PCMCI-ParCorr,20,0.876469126255914,0.9201795685326344,-0.04371044227672052,-0.04371044227672052,0.028743668621205514,-0.05565691977463625,-0.03117618831824891,0.9999991448930321,0.9999904632568359,-1.5206981006061742,3,0,17
var,pair_auc,STCG-v1,PCMCI-ParCorr,20,0.8735628369229461,0.9150593141712825,-0.04149647724833646,-0.04149647724833646,0.038881740004602,-0.05852922371781157,-0.02535771927364738,0.999933850169272,0.9999904632568359,-1.067248462734049,1,0,19
var,precision_at_k,STCG-v1,PCMCI-ParCorr,20,0.664902009316631,0.7492474988130521,-0.08434548949642111,-0.08434548949642111,0.05118240836750876,-0.10601710011586418,-0.062222179049633494,0.9999997227588988,0.9999093204231448,-1.6479390514566856,1,1,18
var,shd,STCG-v1,PCMCI-ParCorr,20,19.9,14.9,5.0,-5.0,3.008759142727674,-6.3,-3.7,0.9999997541534585,0.9999180278693852,-1.661814642785634,1,1,18
var,lag_accuracy,STCG-v1,PCMCI-ParCorr,20,0.8448832575886549,0.8732061324759975,-0.02832287488734266,-0.02832287488734266,0.07215660492296513,-0.05802632072034245,0.003533148019036329,0.9523493783234483,0.962065832502805,-0.3925195055612767,4,3,13
nonlinear_var,edge_auc,STCG-v1,PCMCI-ParCorr,20,0.9690631529959095,0.9835772136850467,-0.014514060689137225,-0.014514060689137225,0.02527613349675459,-0.026096420556279892,-0.005211312872707912,0.9905870282980302,0.9984235763549805,-0.5742199728056036,5,0,15
nonlinear_var,pair_auc,STCG-v1,PCMCI-ParCorr,20,0.9642973620655788,0.9845055797793559,-0.020208217713777336,-0.020208217713777336,0.02100670308817655,-0.029311761107364324,-0.01109250791985318,0.9998077531555772,0.9998950958251953,-0.9619890198358335,2,0,18
nonlinear_var,precision_at_k,STCG-v1,PCMCI-ParCorr,20,0.8598820257087167,0.9241473518179915,-0.06426532610927467,-0.06426532610927467,0.049564371798557494,-0.08573049483964973,-0.043249940256466154,0.9999930978540167,0.9998069112149783,-1.2966032611179998,1,2,17
nonlinear_var,shd,STCG-v1,PCMCI-ParCorr,20,8.9,4.9,4.0,-4.0,3.5540932665545544,-5.6,-2.6,0.9999630903831621,0.9998442143056703,-1.1254628677422753,1,2,17
nonlinear_var,lag_accuracy,STCG-v1,PCMCI-ParCorr,20,0.9755394803950839,0.9709061313048382,0.004633349090245653,0.004633349090245653,0.03015320712626492,-0.007738095238095233,0.017911137027085314,0.2501330344297291,0.3060449400446284,0.15366024154060148,4,13,3
switching_var,edge_auc,STCG-v1,PCMCI-ParCorr,20,0.8124606203901402,0.7790441664673841,0.03341645392275621,0.03341645392275621,0.038064395061938615,0.016073937126990002,0.04921059891950118,0.0004535909428501155,0.00035381317138671875,0.8778926833956182,17,0,3
switching_var,pair_auc,STCG-v1,PCMCI-ParCorr,20,0.8388527358051319,0.8094192399274368,0.029433495877695066,0.029433495877695066,0.04487505560043431,0.00986816790339729,0.048359430914415656,0.00426540730779439,0.0015764236450195312,0.6558988169233645,17,0,3
switching_var,precision_at_k,STCG-v1,PCMCI-ParCorr,20,0.6730614910064056,0.6210322689957108,0.052029222010694695,0.052029222010694695,0.04823302609413546,0.02959209496486803,0.07086169845296697,5.894826736771556e-05,0.0007385830976186899,1.0787053233846509,18,1,1
switching_var,shd,STCG-v1,PCMCI-ParCorr,20,35.5,41.3,-5.8,5.8,5.346912537550107,3.3,7.9,5.5481450740666226e-05,0.00061713467499285,1.084738147345401,18,1,1
switching_var,lag_accuracy,STCG-v1,PCMCI-ParCorr,20,0.8112649957628706,0.7601413805747497,0.05112361518812094,0.05112361518812094,0.062300973008846634,0.024013252308061363,0.07752674590154529,0.0008140220767392117,0.0028056798890072634,0.820590959002542,15,3,2
