switch_period,seed,method,edge_auc,pair_auc,precision_at_k,shd,lag_accuracy,true_edges,edge_density,state_count,state_improvement,temporal_coherence,oracle_window_purity
150,0,DynVAR-Lasso,0.8113531126736409,0.7583333333333333,0.6122448979591837,38.0,0.8055555555555556,49.0,0.2916666666666667,nan,nan,nan,nan
150,0,STCG-v1,0.7870005144915109,0.8305555555555556,0.5918367346938775,40.0,0.6666666666666666,49.0,0.2916666666666667,2,0.22525651621831994,0.31944444444444453,nan
150,0,Oracle-state upper bound,0.8197564740181787,0.8472222222222222,0.673469387755102,32.0,0.75,49.0,0.2916666666666667,nan,nan,nan,0.5
150,1,DynVAR-Lasso,0.685672514619883,0.7626016260162601,0.5740740740740741,46.0,0.6829268292682927,54.0,0.32142857142857145,nan,nan,nan,nan
150,1,STCG-v1,0.6963937621832359,0.808130081300813,0.5185185185185185,52.0,0.6585365853658537,54.0,0.32142857142857145,2,0.23085427709017753,0.6597222222222223,nan
150,1,Oracle-state upper bound,0.6991552956465237,0.8341463414634146,0.5555555555555556,48.0,0.6829268292682927,54.0,0.32142857142857145,nan,nan,nan,0.5
150,2,DynVAR-Lasso,0.771551724137931,0.8453125,0.5769230769230769,44.0,0.7,52.0,0.30952380952380953,nan,nan,nan,nan
150,2,STCG-v1,0.7490053050397878,0.8671875,0.5576923076923077,46.0,0.675,52.0,0.30952380952380953,2,0.2197316275442348,0.6597222222222223,nan
150,2,Oracle-state upper bound,0.7609416445623343,0.871875,0.5961538461538461,42.0,0.675,52.0,0.30952380952380953,nan,nan,nan,0.5
150,3,DynVAR-Lasso,0.6083958939788571,0.6275510204081632,0.47540983606557374,64.0,0.6428571428571429,61.0,0.3630952380952381,nan,nan,nan,nan
150,3,STCG-v1,0.5949134364945611,0.6666666666666666,0.45901639344262296,66.0,0.6428571428571429,61.0,0.3630952380952381,2,0.20885220054413475,0.18333333333333326,nan
150,3,Oracle-state upper bound,0.6399571012716408,0.6445578231292517,0.5081967213114754,60.0,0.7142857142857143,61.0,0.3630952380952381,nan,nan,nan,0.5
150,4,DynVAR-Lasso,0.8674175382139984,0.7235772357723578,0.7636363636363637,26.0,0.8780487804878049,55.0,0.3273809523809524,nan,nan,nan,nan
150,4,STCG-v1,0.8498793242156074,0.791869918699187,0.6909090909090909,34.0,0.9024390243902439,55.0,0.3273809523809524,2,0.2313723539322618,0.6597222222222223,nan
150,4,Oracle-state upper bound,0.8730490748189863,0.8731707317073171,0.7272727272727273,30.0,0.8780487804878049,55.0,0.3273809523809524,nan,nan,nan,0.5
150,5,DynVAR-Lasso,0.7814602132895816,0.7807017543859649,0.6415094339622641,38.0,0.8421052631578947,53.0,0.31547619047619047,nan,nan,nan,nan
150,5,STCG-v1,0.808695652173913,0.7821637426900585,0.6415094339622641,38.0,0.8421052631578947,53.0,0.31547619047619047,2,0.2056989485287218,0.6597222222222223,nan
150,5,Oracle-state upper bound,0.7829368334700574,0.814327485380117,0.6226415094339622,40.0,0.8157894736842105,53.0,0.31547619047619047,nan,nan,nan,0.5
150,6,DynVAR-Lasso,0.7441197434069851,0.6508563899868248,0.5217391304347826,44.0,0.7575757575757576,46.0,0.27380952380952384,nan,nan,nan,nan
150,6,STCG-v1,0.7810049893086244,0.7747035573122529,0.5652173913043478,40.0,0.7575757575757576,46.0,0.27380952380952384,2,0.2186779861416483,0.5916666666666668,nan
150,6,Oracle-state upper bound,0.7952601568068425,0.7312252964426877,0.5652173913043478,40.0,0.7272727272727273,46.0,0.27380952380952384,nan,nan,nan,0.5
150,7,DynVAR-Lasso,0.6866096866096866,0.7722222222222223,0.5294117647058824,48.0,0.6666666666666666,51.0,0.30357142857142855,nan,nan,nan,nan
